code,prefecture,men,women
1,北海道,66.5,49.1
2,青森県,65.3,49.3
3,岩手県,67.3,51.5
4,宮城県,68.1,51.5
5,秋田県,65.9,47.8
6,山形県,67.2,52.7
7,福島県,68.3,50.5
8,茨城県,68.7,52.5
9,栃木県,69.4,52.8
10,群馬県,68.8,53.9
11,埼玉県,69.8,53
12,千葉県,69.2,52.7
13,東京都,74.6,59
14,神奈川県,71.3,54.3
15,新潟県,66.1,51.9
16,富山県,68.8,53
17,石川県,68.2,54.9
18,福井県,71.1,56.5
19,山梨県,70.1,54.2
20,長野県,69.4,54.9
21,岐阜県,69.9,54.4
22,静岡県,69.7,54.4
23,愛知県,71.4,54.5
24,三重県,68.4,52.4
25,滋賀県,71,55
26,京都府,67.3,53.9
27,大阪府,67.9,52.7
28,兵庫県,66.6,50.2
29,奈良県,64,47.3
30,和歌山県,66.6,49.5
31,鳥取県,66.6,53.5
32,島根県,66.9,52
33,岡山県,67.4,51.7
34,広島県,68.7,52.5
35,山口県,65.9,48.7
36,徳島県,63.3,50.3
37,香川県,66.2,50.8
38,愛媛県,65.2,49.7
39,高知県,63.7,51.5
40,福岡県,67.6,52.6
41,佐賀県,68,53.7
42,長崎県,65.1,50.4
43,熊本県,66,52.8
44,大分県,65.7,49.9
45,宮崎県,66.3,52
46,鹿児島県,65.8,52.2
47,沖縄県,67.3,54.6
