code,prefecture,men,women
1,北海道,84.1,52
2,青森県,87.5,61.6
3,岩手県,89.4,63.6
4,宮城県,85.9,59.1
5,秋田県,88.2,64.6
6,山形県,89.2,67.3
7,福島県,90.8,62.8
8,茨城県,85.7,53.9
9,栃木県,87,55.1
10,群馬県,86.3,57.5
11,埼玉県,83,45.9
12,千葉県,81.9,49.5
13,東京都,81.9,61.5
14,神奈川県,81.7,45.5
15,新潟県,87.2,62.5
16,富山県,89.3,61.6
17,石川県,85.8,57.4
18,福井県,85.7,63
19,山梨県,84.1,53
20,長野県,88.2,59
21,岐阜県,84.6,51.3
22,静岡県,87.3,56.1
23,愛知県,85.4,50.6
24,三重県,86.3,52
25,滋賀県,83.8,51.9
26,京都府,76.7,49.7
27,大阪府,83.4,55.2
28,兵庫県,84.1,47.9
29,奈良県,76.1,43.6
30,和歌山県,86.4,54.5
31,鳥取県,83.2,61.3
32,島根県,86.5,61.7
33,岡山県,82.3,57.3
34,広島県,85.3,57.4
35,山口県,86.1,55.8
36,徳島県,86.2,60.5
37,香川県,87.7,54.5
38,愛媛県,88.2,54.8
39,高知県,82.1,62.2
40,福岡県,82.2,55.7
41,佐賀県,86.4,59.6
42,長崎県,84.8,63.3
43,熊本県,84.5,63
44,大分県,86.9,61.3
45,宮崎県,87.9,62.1
46,鹿児島県,81.9,55.4
47,沖縄県,84.2,60.3
