code,prefecture,men,women
1,北海道,44,236
2,青森県,38,224
3,岩手県,50,222
4,宮城県,48,232
5,秋田県,52,252
6,山形県,51,241
7,福島県,55,243
8,茨城県,51,239
9,栃木県,47,245
10,群馬県,45,256
11,埼玉県,60,270
12,千葉県,56,264
13,東京都,62,260
14,神奈川県,56,267
15,新潟県,63,244
16,富山県,48,225
17,石川県,36,250
18,福井県,56,251
19,山梨県,58,237
20,長野県,52,267
21,岐阜県,49,261
22,静岡県,50,263
23,愛知県,50,267
24,三重県,50,284
25,滋賀県,50,269
26,京都府,51,271
27,大阪府,44,261
28,兵庫県,48,250
29,奈良県,58,300
30,和歌山県,47,252
31,鳥取県,54,236
32,島根県,56,234
33,岡山県,50,277
34,広島県,48,258
35,山口県,48,245
36,徳島県,50,240
37,香川県,56,257
38,愛媛県,41,238
39,高知県,53,234
40,福岡県,47,274
41,佐賀県,46,246
42,長崎県,47,259
43,熊本県,51,259
44,大分県,44,246
45,宮崎県,55,246
46,鹿児島県,49,235
47,沖縄県,52,278
