code,prefecture,men,women
1,北海道,128339,20228
2,青森県,26378,4419
3,岩手県,23868,3473
4,宮城県,54035,8386
5,秋田県,20520,2447
6,山形県,24329,2639
7,福島県,45542,6704
8,茨城県,66863,13688
9,栃木県,50267,8300
10,群馬県,47529,6382
11,埼玉県,167905,25656
12,千葉県,140292,25774
13,東京都,794048,165102
14,神奈川県,222636,41614
15,新潟県,49192,5281
16,富山県,26106,3621
17,石川県,30946,4254
18,福井県,20529,2359
19,山梨県,26934,5659
20,長野県,53493,7155
21,岐阜県,50026,7840
22,静岡県,85016,12382
23,愛知県,194489,33014
24,三重県,39982,6083
25,滋賀県,29972,4463
26,京都府,74484,12747
27,大阪府,312411,63177
28,兵庫県,122351,24530
29,奈良県,28248,5343
30,和歌山県,22054,3362
31,鳥取県,12388,2242
32,島根県,14706,1729
33,岡山県,47085,8365
34,広島県,71197,13351
35,山口県,28415,4528
36,徳島県,18595,3256
37,香川県,25798,4287
38,愛媛県,33543,4881
39,高知県,15705,2530
40,福岡県,139443,28050
41,佐賀県,17660,2577
42,長崎県,28403,4503
43,熊本県,42868,7186
44,大分県,29390,5765
45,宮崎県,26916,3852
46,鹿児島県,37160,5600
47,沖縄県,40320,10478
