code,prefecture,men,women
1,北海道,2233,40
2,青森県,613,25
3,岩手県,408,23
4,宮城県,272,30
5,秋田県,303,35
6,山形県,335,33
7,福島県,246,25
8,茨城県,615,76
9,栃木県,289,34
10,群馬県,347,43
11,埼玉県,464,48
12,千葉県,707,49
13,東京都,470,48
14,神奈川県,535,67
15,新潟県,377,36
16,富山県,406,36
17,石川県,325,42
18,福井県,209,10
19,山梨県,193,27
20,長野県,390,63
21,岐阜県,203,47
22,静岡県,447,29
23,愛知県,660,117
24,三重県,329,23
25,滋賀県,380,41
26,京都府,150,15
27,大阪府,523,72
28,兵庫県,713,48
29,奈良県,27,1
30,和歌山県,444,42
31,鳥取県,137,11
32,島根県,81,6
33,岡山県,277,8
34,広島県,633,24
35,山口県,162,10
36,徳島県,371,17
37,香川県,361,5
38,愛媛県,434,39
39,高知県,249,16
40,福岡県,807,51
41,佐賀県,176,16
42,長崎県,803,21
43,熊本県,699,35
44,大分県,83,10
45,宮崎県,240,5
46,鹿児島県,594,40
47,沖縄県,373,4
