code,prefecture,men,women
1,北海道,994,91
2,青森県,535,52
3,岩手県,627,69
4,宮城県,687,63
5,秋田県,290,42
6,山形県,431,108
7,福島県,804,101
8,茨城県,621,101
9,栃木県,426,54
10,群馬県,737,142
11,埼玉県,946,131
12,千葉県,662,65
13,東京都,3135,577
14,神奈川県,838,154
15,新潟県,738,101
16,富山県,621,147
17,石川県,620,87
18,福井県,451,118
19,山梨県,540,86
20,長野県,701,91
21,岐阜県,746,172
22,静岡県,864,121
23,愛知県,1301,191
24,三重県,647,91
25,滋賀県,488,85
26,京都府,547,105
27,大阪府,849,89
28,兵庫県,638,123
29,奈良県,374,49
30,和歌山県,509,59
31,鳥取県,415,132
32,島根県,574,102
33,岡山県,690,102
34,広島県,345,67
35,山口県,492,62
36,徳島県,409,93
37,香川県,349,64
38,愛媛県,436,50
39,高知県,311,70
40,福岡県,538,120
41,佐賀県,348,57
42,長崎県,423,74
43,熊本県,460,62
44,大分県,353,47
45,宮崎県,416,39
46,鹿児島県,488,69
47,沖縄県,431,95
