code,prefecture,men,women
1,北海道,738,404
2,青森県,469,197
3,岩手県,456,221
4,宮城県,527,251
5,秋田県,522,167
6,山形県,409,235
7,福島県,492,284
8,茨城県,495,373
9,栃木県,430,225
10,群馬県,390,253
11,埼玉県,508,414
12,千葉県,681,339
13,東京都,1025,765
14,神奈川県,829,374
15,新潟県,512,307
16,富山県,506,238
17,石川県,364,277
18,福井県,276,219
19,山梨県,401,158
20,長野県,460,304
21,岐阜県,426,330
22,静岡県,555,278
23,愛知県,740,421
24,三重県,510,232
25,滋賀県,364,245
26,京都府,566,277
27,大阪府,1761,837
28,兵庫県,720,308
29,奈良県,389,189
30,和歌山県,437,214
31,鳥取県,205,155
32,島根県,386,288
33,岡山県,475,238
34,広島県,654,283
35,山口県,447,222
36,徳島県,293,288
37,香川県,367,210
38,愛媛県,362,208
39,高知県,445,204
40,福岡県,658,348
41,佐賀県,378,229
42,長崎県,482,263
43,熊本県,487,230
44,大分県,385,245
45,宮崎県,357,205
46,鹿児島県,502,332
47,沖縄県,404,230
