code,prefecture,men,women
1,北海道,387,205
2,青森県,170,110
3,岩手県,224,127
4,宮城県,130,59
5,秋田県,89,57
6,山形県,79,70
7,福島県,201,110
8,茨城県,254,137
9,栃木県,135,92
10,群馬県,132,50
11,埼玉県,350,242
12,千葉県,444,180
13,東京都,1237,740
14,神奈川県,339,235
15,新潟県,151,97
16,富山県,90,62
17,石川県,125,81
18,福井県,117,82
19,山梨県,104,59
20,長野県,156,100
21,岐阜県,146,106
22,静岡県,257,113
23,愛知県,425,281
24,三重県,92,72
25,滋賀県,173,118
26,京都府,114,89
27,大阪府,484,269
28,兵庫県,428,246
29,奈良県,126,95
30,和歌山県,84,64
31,鳥取県,122,116
32,島根県,113,72
33,岡山県,109,80
34,広島県,185,140
35,山口県,134,73
36,徳島県,128,112
37,香川県,72,68
38,愛媛県,174,118
39,高知県,105,83
40,福岡県,234,155
41,佐賀県,101,81
42,長崎県,149,85
43,熊本県,111,100
44,大分県,126,114
45,宮崎県,178,80
46,鹿児島県,129,86
47,沖縄県,106,64
