code,prefecture,市区町村議会の男女比,市区町村長数,衆参両院選挙区選出議員の男女比,女性ゼロ議会,都道府県議会の男女比,歴代知事の在職年数の男女比
1,北海道,15,25,13,42,20,1
2,青森県,45,19,9,47,38,8
3,岩手県,21,26,32,22,6,8
4,宮城県,19,16,5,25,14,8
5,秋田県,42,26,9,23,18,8
6,山形県,33,26,3,27,33,2
7,福島県,40,26,4,41,29,8
8,茨城県,17,22,12,13,37,8
9,栃木県,13,1,21,7,14,8
10,群馬県,32,16,21,37,32,8
11,埼玉県,4,14,31,1,6,8
12,千葉県,6,9,30,4,12,3
13,東京都,1,6,8,12,1,7
14,神奈川県,2,7,5,5,3,8
15,新潟県,23,5,1,6,19,8
16,富山県,39,26,32,19,24,8
17,石川県,42,26,32,31,35,8
18,福井県,31,8,5,26,39,8
19,山梨県,41,26,1,42,47,8
20,長野県,9,24,32,18,16,8
21,岐阜県,18,26,21,17,30,8
22,静岡県,16,16,13,33,11,8
23,愛知県,8,26,28,11,42,8
24,三重県,11,12,13,20,17,8
25,滋賀県,10,26,13,10,4,3
26,京都府,5,4,26,16,2,8
27,大阪府,3,21,20,1,36,3
28,兵庫県,7,2,29,9,5,8
29,奈良県,19,26,9,46,26,8
30,和歌山県,27,13,32,27,33,8
31,鳥取県,30,26,32,38,10,8
32,島根県,44,26,32,38,31,8
33,岡山県,24,11,21,32,9,8
34,広島県,27,26,27,8,44,8
35,山口県,22,10,32,15,27,8
36,徳島県,27,3,32,30,21,8
37,香川県,24,26,32,1,42,8
38,愛媛県,35,26,13,21,28,8
39,高知県,12,15,32,35,41,8
40,福岡県,14,23,25,14,23,8
41,佐賀県,36,26,32,27,40,8
42,長崎県,47,26,13,40,12,8
43,熊本県,37,26,32,36,46,3
44,大分県,46,26,32,24,45,8
45,宮崎県,24,26,32,34,22,8
46,鹿児島県,34,26,32,44,24,8
47,沖縄県,38,20,13,45,6,8
