code,prefecture,小学校の校長の男女比,小中高校の副校長・教頭の男女比,大学進学率の男女格差,中学・高校の校長の男女比,都道府県教育委員会委員の男女比,都道府県教育委員会事務局の管理職における男女比
1,北海道,42,45,45,38,14,33
2,青森県,36,40,12,26,14,5
3,岩手県,26,25,11,43,14,24
4,宮城県,23,32,26,4,1,17
5,秋田県,33,34,18,46,14,47
6,山形県,39,26,21,18,1,37
7,福島県,45,47,27,47,14,34
8,茨城県,19,16,23,6,1,30
9,栃木県,6,3,29,24,14,18
10,群馬県,20,22,30,36,14,45
11,埼玉県,21,35,46,20,45,26
12,千葉県,21,24,37,31,14,46
13,東京都,18,15,3,14,14,8
14,神奈川県,3,5,32,2,1,10
15,新潟県,31,43,42,27,14,31
16,富山県,4,4,17,10,14,40
17,石川県,1,2,25,1,14,42
18,福井県,10,11,37,27,43,13
19,山梨県,47,42,47,32,1,36
20,長野県,35,28,27,13,14,6
21,岐阜県,15,12,21,15,14,1
22,静岡県,23,27,40,10,45,2
23,愛知県,25,18,23,27,1,43
24,三重県,17,10,35,33,1,13
25,滋賀県,13,9,36,22,14,9
26,京都府,7,21,6,16,14,19
27,大阪府,14,29,32,5,14,24
28,兵庫県,34,32,6,21,14,20
29,奈良県,29,31,34,35,14,3
30,和歌山県,9,8,31,25,1,29
31,鳥取県,30,6,13,36,14,4
32,島根県,46,37,37,18,1,22
33,岡山県,8,13,16,3,14,12
34,広島県,2,1,10,8,1,16
35,山口県,37,23,9,27,45,44
36,徳島県,40,17,1,12,14,7
37,香川県,16,14,20,38,1,23
38,愛媛県,38,39,15,44,1,15
39,高知県,5,6,4,9,14,11
40,福岡県,11,19,8,17,1,28
41,佐賀県,28,20,43,22,14,35
42,長崎県,44,46,19,40,14,32
43,熊本県,27,38,5,41,14,38
44,大分県,32,30,41,42,14,39
45,宮崎県,43,44,14,45,43,41
46,鹿児島県,41,41,44,34,14,27
47,沖縄県,12,36,1,7,14,21
