code,prefecture,フルタイムの仕事に従事する割合の男女比,フルタイムの仕事に従事する男女間の賃金格差,フルタイム以外の仕事に従事する男女間の賃金格差,企業や法人の役員・管理職の男女比,共働き家庭の家事・育児等に使用する時間の男女格差_inverse,社長数の男女比,農協役員の男女比
1,北海道,34,23,29,28,43,20,47
2,青森県,5,11,39,20,23,25,24
3,岩手県,8,5,33,29,1,23,10
4,宮城県,22,28,30,15,6,27,21
5,秋田県,2,13,2,34,9,40,21
6,山形県,1,17,8,39,7,46,33
7,福島県,4,33,21,27,4,38,25
8,茨城県,39,42,38,25,27,33,36
9,栃木県,29,13,18,30,39,27,38
10,群馬県,34,35,26,33,17,39,19
11,埼玉県,47,18,17,40,21,23,41
12,千葉県,40,24,12,41,17,10,33
13,東京都,10,39,22,7,2,2,13
14,神奈川県,46,21,35,37,11,9,9
15,新潟県,9,1,13,42,8,47,25
16,富山県,12,9,28,46,14,44,15
17,石川県,22,45,4,47,26,43,17
18,福井県,19,12,9,45,34,44,46
19,山梨県,32,40,22,35,30,6,23
20,長野県,24,37,16,38,20,41,3
21,岐阜県,45,31,15,44,31,35,7
22,静岡県,37,35,5,36,46,35,30
23,愛知県,44,33,37,26,41,16,2
24,三重県,42,47,7,22,32,22,40
25,滋賀県,38,44,22,31,27,27,1
26,京都府,28,24,31,5,42,14,31
27,大阪府,30,41,42,13,36,5,6
28,兵庫県,41,18,10,24,40,8,11
29,奈良県,43,10,34,10,11,7,42
30,和歌山県,36,13,36,23,34,31,3
31,鳥取県,6,8,43,11,10,11,44
32,島根県,18,3,27,18,25,42,12
33,岡山県,21,27,6,14,22,17,43
34,広島県,32,37,11,17,23,11,35
35,山口県,26,24,20,8,14,21,5
36,徳島県,16,7,44,3,37,13,15
37,香川県,13,46,41,6,16,18,28
38,愛媛県,30,29,3,32,37,35,20
39,高知県,3,4,40,1,11,19,31
40,福岡県,15,43,14,4,47,3,36
41,佐賀県,7,22,45,19,27,31,17
42,長崎県,11,1,32,8,43,26,27
43,熊本県,20,30,25,2,45,14,39
44,大分県,25,16,47,11,17,4,7
45,宮崎県,17,18,19,15,3,33,29
46,鹿児島県,27,31,46,21,32,30,14
47,沖縄県,14,5,1,43,5,1,45
