code,prefecture,市区町村の管理職の男女比,市区町村の審議会の男女比,市区町村の防災会議の男女比,地方自治法180条の5に基づく委員会の男女比,都道府県の管理職の男女比,都道府県の審議会の男女比,都道府県職員の育休取得率における男女格差_inverse,都道府県庁採用(大卒程度)の男女比,都道府県防災会議の男女比
1,北海道,35,43,47,47,43,20,33,32,44
2,青森県,31,35,44,25,46,43,4,36,12
3,岩手県,22,29,14,16,37,45,15,25,17
4,宮城県,12,17,29,39,40,37,26,47,31
5,秋田県,16,37,16,20,47,47,16,40,43
6,山形県,18,40,38,7,9,18,9,17,37
7,福島県,36,36,45,2,45,25,12,44,11
8,茨城県,40,32,20,41,36,13,23,16,5
9,栃木県,34,14,25,11,27,19,36,31,16
10,群馬県,38,47,19,13,20,17,32,41,22
11,埼玉県,26,12,8,32,28,7,6,12,20
12,千葉県,41,32,6,45,39,40,25,42,9
13,東京都,18,15,5,37,2,16,29,6,35
14,神奈川県,20,4,12,38,13,42,26,26,30
15,新潟県,38,20,43,29,22,15,22,29,13
16,富山県,3,44,41,23,4,41,21,37,15
17,石川県,5,28,37,44,19,3,30,22,41
18,福井県,6,15,24,4,5,12,8,35,27
19,山梨県,31,41,22,35,18,46,45,24,47
20,長野県,44,30,35,3,38,8,38,14,10
21,岐阜県,25,25,28,6,3,5,7,7,8
22,静岡県,24,19,27,4,22,28,18,33,42
23,愛知県,15,27,17,28,21,21,31,23,44
24,三重県,10,24,17,18,31,31,13,4,27
25,滋賀県,2,2,21,20,25,10,20,9,6
26,京都府,12,6,11,34,6,22,33,5,7
27,大阪府,17,7,10,40,34,32,39,15,34
28,兵庫県,14,9,15,42,12,37,43,19,27
29,奈良県,8,37,31,15,34,35,28,18,37
30,和歌山県,9,39,42,30,42,36,40,21,25
31,鳥取県,1,3,4,1,1,2,1,10,2
32,島根県,7,26,23,32,10,4,5,46,3
33,岡山県,28,5,3,10,30,29,19,11,24
34,広島県,21,20,34,35,22,39,11,3,46
35,山口県,26,12,7,24,32,30,17,34,32
36,徳島県,4,31,26,14,16,1,14,20,1
37,香川県,23,18,8,16,11,27,36,2,21
38,愛媛県,47,23,39,26,32,26,43,7,32
39,高知県,11,10,13,9,15,44,2,38,36
40,福岡県,29,1,2,27,6,23,42,27,39
41,佐賀県,33,11,1,12,17,6,40,28,4
42,長崎県,44,45,36,46,14,13,33,13,18
43,熊本県,42,46,40,8,28,34,47,29,23
44,大分県,37,20,31,22,41,33,23,1,40
45,宮崎県,42,34,33,43,44,9,3,45,25
46,鹿児島県,46,42,46,31,26,11,45,38,19
47,沖縄県,30,8,29,19,6,24,10,43,13
