code,prefecture,市区町村の管理職の男女比,市区町村の審議会の男女比,市区町村の防災会議の男女比,地方自治法180条の5に基づく委員会の男女比,都道府県の管理職の男女比,都道府県の審議会の男女比,都道府県職員の育休取得率における男女格差_inverse,都道府県庁採用(大卒程度)の男女比,都道府県防災会議の男女比
1,北海道,0.16,0.343,0.039,0.046,0.077,0.549,0.074,0.507,0.062
2,青森県,0.173,0.376,0.059,0.246,0.067,0.432,0.198,0.483,0.224
3,岩手県,0.198,0.399,0.119,0.298,0.089,0.428,0.116,0.541,0.203
4,宮城県,0.242,0.431,0.089,0.145,0.084,0.454,0.09,0.319,0.135
5,秋田県,0.218,0.361,0.116,0.273,0.066,0.33,0.115,0.465,0.07
6,山形県,0.21,0.354,0.08,0.366,0.17,0.569,0.137,0.6,0.111
7,福島県,0.153,0.366,0.056,0.525,0.073,0.519,0.122,0.435,0.227
8,茨城県,0.145,0.391,0.109,0.127,0.091,0.577,0.092,0.601,0.368
9,栃木県,0.168,0.44,0.1,0.353,0.109,0.559,0.07,0.519,0.217
10,群馬県,0.148,0.303,0.11,0.324,0.124,0.57,0.076,0.455,0.171
11,埼玉県,0.183,0.442,0.139,0.186,0.108,0.67,0.157,0.68,0.177
12,千葉県,0.139,0.391,0.142,0.105,0.087,0.439,0.091,0.453,0.238
13,東京都,0.21,0.438,0.153,0.149,0.203,0.573,0.086,0.703,0.121
14,神奈川県,0.209,0.483,0.126,0.148,0.156,0.435,0.09,0.537,0.14
15,新潟県,0.148,0.422,0.071,0.197,0.115,0.574,0.094,0.522,0.222
16,富山県,0.315,0.334,0.073,0.255,0.178,0.436,0.099,0.482,0.218
17,石川県,0.3,0.404,0.081,0.109,0.125,0.739,0.085,0.567,0.077
18,福井県,0.296,0.438,0.103,0.432,0.177,0.594,0.139,0.485,0.143
19,山梨県,0.173,0.346,0.107,0.15,0.129,0.411,0.041,0.556,0.049
20,長野県,0.132,0.397,0.084,0.441,0.088,0.651,0.068,0.641,0.231
21,岐阜県,0.185,0.41,0.091,0.389,0.187,0.718,0.151,0.699,0.245
22,静岡県,0.186,0.424,0.094,0.432,0.115,0.512,0.11,0.506,0.071
23,愛知県,0.222,0.405,0.112,0.207,0.118,0.541,0.082,0.562,0.062
24,三重県,0.259,0.419,0.112,0.286,0.106,0.478,0.12,0.744,0.143
25,滋賀県,0.319,0.527,0.108,0.273,0.114,0.626,0.108,0.696,0.348
26,京都府,0.242,0.464,0.127,0.184,0.175,0.534,0.074,0.739,0.269
27,大阪府,0.213,0.462,0.131,0.138,0.092,0.477,0.067,0.63,0.13
28,兵庫県,0.232,0.454,0.118,0.113,0.157,0.454,0.049,0.592,0.143
29,奈良県,0.286,0.361,0.088,0.314,0.092,0.462,0.087,0.599,0.111
30,和歌山県,0.271,0.357,0.072,0.196,0.082,0.457,0.06,0.569,0.146
31,鳥取県,0.338,0.508,0.161,0.742,0.27,0.763,0.291,0.695,0.675
32,島根県,0.287,0.406,0.105,0.186,0.161,0.734,0.162,0.373,0.674
33,岡山県,0.179,0.479,0.198,0.354,0.107,0.505,0.109,0.683,0.157
34,広島県,0.207,0.422,0.085,0.15,0.115,0.45,0.123,0.786,0.054
35,山口県,0.183,0.442,0.141,0.25,0.095,0.501,0.111,0.496,0.132
36,徳島県,0.308,0.394,0.096,0.319,0.145,1,0.118,0.589,0.929
37,香川県,0.195,0.427,0.139,0.298,0.16,0.513,0.07,0.861,0.176
38,愛媛県,0.09,0.42,0.079,0.245,0.095,0.514,0.049,0.699,0.132
39,高知県,0.249,0.451,0.122,0.356,0.146,0.43,0.229,0.477,0.113
40,福岡県,0.176,0.531,0.205,0.235,0.175,0.526,0.057,0.536,0.109
41,佐賀県,0.172,0.447,0.228,0.333,0.135,0.717,0.06,0.524,0.373
42,長崎県,0.132,0.329,0.083,0.097,0.153,0.577,0.074,0.673,0.193
43,熊本県,0.136,0.328,0.078,0.358,0.108,0.467,0.039,0.522,0.163
44,大分県,0.149,0.422,0.088,0.271,0.083,0.472,0.092,0.881,0.093
45,宮崎県,0.136,0.388,0.086,0.111,0.076,0.632,0.199,0.383,0.146
46,鹿児島県,0.121,0.344,0.055,0.191,0.113,0.613,0.041,0.477,0.189
47,沖縄県,0.174,0.459,0.089,0.283,0.175,0.522,0.13,0.45,0.222
