code,prefecture,行政,教育,政治,経済
1,北海道,0.18,0.484,0.189,0.336
2,青森県,0.222,0.573,0.117,0.359
3,岩手県,0.258,0.561,0.158,0.374
4,宮城県,0.223,0.576,0.175,0.359
5,秋田県,0.243,0.541,0.143,0.364
6,山形県,0.264,0.574,0.197,0.354
7,福島県,0.235,0.5,0.13,0.364
8,茨城県,0.229,0.598,0.173,0.353
9,栃木県,0.252,0.571,0.212,0.35
10,群馬県,0.229,0.542,0.129,0.348
11,埼玉県,0.268,0.501,0.203,0.341
12,千葉県,0.218,0.524,0.225,0.352
13,東京都,0.285,0.631,0.31,0.377
14,神奈川県,0.245,0.631,0.236,0.355
15,新潟県,0.23,0.522,0.21,0.359
16,富山県,0.28,0.581,0.127,0.349
17,石川県,0.272,0.618,0.112,0.36
18,福井県,0.304,0.546,0.165,0.34
19,山梨県,0.202,0.509,0.118,0.362
20,長野県,0.24,0.548,0.158,0.343
21,岐阜県,0.286,0.583,0.143,0.346
22,静岡県,0.231,0.539,0.172,0.331
23,愛知県,0.25,0.576,0.152,0.343
24,三重県,0.29,0.59,0.197,0.334
25,滋賀県,0.322,0.554,0.191,0.345
26,京都府,0.283,0.6,0.211,0.353
27,大阪府,0.255,0.563,0.21,0.364
28,兵庫県,0.245,0.593,0.188,0.353
29,奈良県,0.25,0.572,0.128,0.355
30,和歌山県,0.229,0.591,0.127,0.351
31,鳥取県,0.435,0.623,0.152,0.378
32,島根県,0.303,0.528,0.131,0.36
33,岡山県,0.286,0.61,0.17,0.348
34,広島県,0.261,0.616,0.156,0.356
35,山口県,0.233,0.526,0.169,0.368
36,徳島県,0.355,0.625,0.151,0.38
37,香川県,0.263,0.567,0.138,0.367
38,愛媛県,0.218,0.569,0.152,0.362
39,高知県,0.297,0.665,0.136,0.373
40,福岡県,0.312,0.593,0.149,0.359
41,佐賀県,0.291,0.542,0.12,0.345
42,長崎県,0.211,0.564,0.136,0.344
43,熊本県,0.222,0.58,0.127,0.364
44,大分県,0.237,0.523,0.113,0.367
45,宮崎県,0.221,0.532,0.108,0.356
46,鹿児島県,0.226,0.502,0.111,0.36
47,沖縄県,0.268,0.605,0.146,0.388
