code,prefecture,行政,教育,政治,経済
1,北海道,47,47,12,45
2,青森県,40,22,43,19
3,岩手県,21,29,20,5
4,宮城県,39,19,14,19
5,秋田県,28,35,29,10
6,山形県,18,21,9,27
7,福島県,31,46,35,10
8,茨城県,35,11,15,28
9,栃木県,23,24,4,33
10,群馬県,35,33,36,35
11,埼玉県,16,45,8,43
12,千葉県,43,40,3,31
13,東京都,12,2,1,4
14,神奈川県,26,2,2,25
15,新潟県,34,42,6,19
16,富山県,14,17,38,34
17,石川県,15,6,45,16
18,福井県,5,32,19,44
19,山梨県,46,43,42,14
20,長野県,29,31,20,41
21,岐阜県,10,16,29,37
22,静岡県,33,36,16,47
23,愛知県,24,19,23,41
24,三重県,9,15,9,46
25,滋賀県,3,30,11,38
26,京都府,13,10,5,28
27,大阪府,22,28,6,10
28,兵庫県,26,12,13,28
29,奈良県,24,23,37,25
30,和歌山県,35,14,38,32
31,鳥取県,1,5,23,3
32,島根県,6,38,34,16
33,岡山県,10,8,17,35
34,広島県,20,7,22,23
35,山口県,32,39,18,7
36,徳島県,2,4,26,2
37,香川県,19,26,31,8
38,愛媛県,43,25,23,14
39,高知県,7,1,32,6
40,福岡県,4,12,27,19
41,佐賀県,8,33,41,38
42,長崎県,45,27,32,40
43,熊本県,40,18,38,10
44,大分県,30,41,44,8
45,宮崎県,42,37,47,23
46,鹿児島県,38,44,46,16
47,沖縄県,16,9,28,1
