code,prefecture,教育業界就業者,学生関連
1,北海道,45,45
2,青森県,22,21
3,岩手県,34,12
4,宮城県,13,31
5,秋田県,39,23
6,山形県,25,14
7,福島県,47,41
8,茨城県,10,14
9,栃木県,10,36
10,群馬県,35,27
11,埼玉県,32,46
12,千葉県,37,38
13,東京都,7,4
14,神奈川県,1,29
15,新潟県,38,40
16,富山県,5,34
17,石川県,2,24
18,福井県,14,42
19,山梨県,25,47
20,長野県,23,39
21,岐阜県,9,33
22,静岡県,33,35
23,愛知県,24,14
24,三重県,12,20
25,滋賀県,20,36
26,京都府,17,9
27,大阪府,21,31
28,兵庫県,30,6
29,奈良県,27,13
30,和歌山県,6,25
31,鳥取県,17,1
32,島根県,29,43
33,岡山県,7,10
34,広島県,4,17
35,山口県,46,22
36,徳島県,16,1
37,香川県,30,19
38,愛媛県,27,17
39,高知県,3,1
40,福岡県,14,11
41,佐賀県,36,27
42,長崎県,43,8
43,熊本県,39,5
44,大分県,44,29
45,宮崎県,42,26
46,鹿児島県,41,44
47,沖縄県,17,6
