code,prefecture,【24】フルタイムの仕事に従事する男女間の賃金格差,【25】フルタイム以外の仕事に従事する男女間の賃金格差,【26】フルタイムの仕事に従事する割合の男女比,【27】共働き家庭の家事・育児などに使用する時間の男女格差_inverse,【28】企業や法人の役員・管理職の男女比,【29】社長数の男女比,【30】農協役員の男女比
1,北海道,30,16,29,35,38,20,47
2,青森県,3,31,12,45,20,26,21
3,岩手県,5,10,10,8,30,29,11
4,宮城県,30,18,17,20,21,32,21
5,秋田県,9,6,3,21,36,43,27
6,山形県,25,13,4,15,38,46,29
7,福島県,32,14,15,6,15,40,15
8,茨城県,42,26,32,13,27,6,36
9,栃木県,32,6,33,26,28,21,37
10,群馬県,16,15,24,41,34,41,21
11,埼玉県,20,34,42,11,42,26,41
12,千葉県,6,26,38,15,44,12,34
13,東京都,22,32,16,4,9,2,13
14,神奈川県,28,23,47,17,32,11,8
15,新潟県,11,20,14,1,47,47,26
16,富山県,12,39,19,13,41,39,20
17,石川県,36,2,1,47,9,38,17
18,福井県,22,29,9,10,45,45,46
19,山梨県,43,30,26,2,26,10,28
20,長野県,43,8,39,24,46,42,5
21,岐阜県,39,12,46,29,42,23,5
22,静岡県,29,45,36,28,34,37,35
23,愛知県,45,36,44,31,31,15,2
24,三重県,47,5,45,41,33,25,39
25,滋賀県,38,41,37,35,36,30,1
26,京都府,15,40,35,29,7,16,25
27,大阪府,35,17,34,46,9,5,3
28,兵庫県,40,33,43,26,16,6,12
29,奈良県,9,25,40,25,16,8,43
30,和歌山県,46,38,40,31,2,32,4
31,鳥取県,1,44,1,5,13,13,44
32,島根県,6,46,4,3,40,43,9
33,岡山県,17,47,11,38,3,18,45
34,広島県,18,24,30,35,23,9,29
35,山口県,19,19,23,23,5,23,7
36,徳島県,8,35,7,19,1,14,16
37,香川県,22,4,24,12,18,18,32
38,愛媛県,14,3,27,43,7,34,21
39,高知県,4,42,6,6,9,21,17
40,福岡県,32,21,20,43,4,3,38
41,佐賀県,20,43,31,31,22,34,17
42,長崎県,26,37,28,38,25,26,29
43,熊本県,13,26,8,22,14,16,40
44,大分県,41,9,20,40,6,4,10
45,宮崎県,37,22,13,9,29,36,32
46,鹿児島県,27,11,22,18,24,30,14
47,沖縄県,2,1,18,31,19,1,42
