code,prefecture,【01】歴代知事の在職年数の男女比,【02】衆参両院の選挙区選出議員の男女比,【03】都道府県議会議員の男女比,【04】女性ゼロ議会,【05】市区町村議会の男女比,【06】市区町村長の男女比
1,北海道,0.271,0.2,0.143,0.709,0.16,0.006
2,青森県,0,0.25,0.07,0.625,0.098,0.026
3,岩手県,0,0.25,0.179,0.848,0.148,0
4,宮城県,0,0.333,0.137,0.914,0.159,0.029
5,秋田県,0,0.25,0.132,0.84,0.113,0
6,山形県,0.21,0.667,0.054,0.8,0.126,0
7,福島県,0,0.4,0.094,0.695,0.099,0
8,茨城県,0,0.375,0.093,0.955,0.162,0.023
9,栃木県,0,0.167,0.158,1,0.172,0.136
10,群馬県,0,0.167,0.122,0.743,0.127,0
11,埼玉県,0,0.095,0.147,0.984,0.298,0.068
12,千葉県,0.119,0.059,0.151,1,0.229,0.102
13,東京都,0.087,0.321,0.447,0.935,0.423,0.107
14,神奈川県,0,0.368,0.226,1,0.311,0.065
15,新潟県,0,0.6,0.13,0.967,0.158,0.071
16,富山県,0,0,0.118,0.867,0.111,0
17,石川県,0,0,0.075,0.789,0.107,0
18,福井県,0,0.333,0.062,0.882,0.131,0.062
19,山梨県,0,0.333,0.029,0.704,0.107,0
20,長野県,0,0,0.163,0.909,0.202,0.013
21,岐阜県,0,0.167,0.095,0.881,0.151,0
22,静岡県,0,0.2,0.155,0.886,0.198,0.029
23,愛知県,0,0.095,0.065,0.963,0.21,0
24,三重県,0,0.5,0.114,0.966,0.206,0.036
25,滋賀県,0.119,0.2,0.194,0.895,0.188,0
26,京都府,0,0.111,0.277,0.885,0.249,0.083
27,大阪府,0.119,0.174,0.077,1,0.31,0.024
28,兵庫県,0,0.059,0.176,0.976,0.232,0.051
29,奈良県,0,0.25,0.079,0.667,0.176,0
30,和歌山県,0,0,0.079,0.767,0.14,0.034
31,鳥取県,0,0,0.172,0.789,0.152,0.056
32,島根県,0,0,0.097,0.947,0.105,0
33,岡山県,0,0.167,0.174,0.926,0.139,0.038
34,広島県,0,0.222,0.074,1,0.153,0
35,山口県,0,0,0.175,0.947,0.15,0.056
36,徳島県,0,0,0.125,0.792,0.125,0.091
37,香川県,0,0,0.051,1,0.152,0
38,愛媛県,0,0.2,0.098,0.95,0.15,0
39,高知県,0,0,0.161,0.706,0.167,0.03
40,福岡県,0,0.062,0.092,0.933,0.169,0.017
41,佐賀県,0,0,0.057,0.85,0.135,0
42,長崎県,0,0.2,0.15,0.81,0.091,0
43,熊本県,0.119,0,0.021,0.8,0.104,0
44,大分県,0,0,0.049,0.833,0.11,0
45,宮崎県,0,0,0.088,0.692,0.131,0
46,鹿児島県,0,0,0.114,0.698,0.12,0
47,沖縄県,0,0.2,0.171,0.829,0.119,0
