code,prefecture,【24】フルタイムの仕事に従事する男女間の賃金格差,【25】フルタイム以外の仕事に従事する男女間の賃金格差,【26】フルタイムの仕事に従事する割合の男女比,【27】共働き家庭の家事・育児などに使用する時間の男女格差_inverse,【28】企業や法人の役員・管理職の男女比,【29】社長数の男女比,【30】農協役員の男女比
1,北海道,0.753,0.854,0.642,0.186,0.156,0.156,0.021
2,青森県,0.796,0.78,0.708,0.17,0.184,0.147,0.115
3,岩手県,0.791,0.876,0.714,0.225,0.166,0.145,0.14
4,宮城県,0.753,0.844,0.691,0.207,0.183,0.143,0.115
5,秋田県,0.784,0.915,0.742,0.206,0.159,0.116,0.108
6,山形県,0.761,0.868,0.739,0.212,0.156,0.104,0.101
7,福島県,0.752,0.865,0.701,0.226,0.19,0.125,0.12
8,茨城県,0.741,0.803,0.63,0.213,0.171,0.191,0.094
9,栃木県,0.752,0.915,0.628,0.192,0.169,0.153,0.093
10,群馬県,0.774,0.855,0.659,0.176,0.16,0.124,0.115
11,埼玉県,0.765,0.767,0.596,0.222,0.14,0.147,0.08
12,千葉県,0.79,0.803,0.603,0.212,0.138,0.177,0.097
13,東京都,0.762,0.779,0.695,0.238,0.198,0.201,0.122
14,神奈川県,0.756,0.827,0.555,0.21,0.164,0.18,0.156
15,新潟県,0.781,0.839,0.704,0.258,0.129,0.103,0.109
16,富山県,0.78,0.725,0.673,0.213,0.144,0.129,0.116
17,石川県,0.748,0.994,0.754,0.144,0.198,0.132,0.117
18,福井県,0.762,0.8,0.722,0.223,0.137,0.108,0.034
19,山梨県,0.74,0.794,0.657,0.245,0.173,0.181,0.105
20,長野県,0.74,0.891,0.601,0.195,0.132,0.119,0.168
21,岐阜県,0.744,0.874,0.58,0.188,0.14,0.152,0.168
22,静岡県,0.754,0.63,0.615,0.19,0.16,0.138,0.096
23,愛知県,0.716,0.762,0.583,0.187,0.165,0.165,0.179
24,三重県,0.711,0.931,0.581,0.176,0.163,0.15,0.089
25,滋賀県,0.745,0.713,0.609,0.186,0.159,0.144,0.19
26,京都府,0.775,0.714,0.623,0.188,0.2,0.164,0.11
27,大阪府,0.751,0.845,0.626,0.169,0.198,0.193,0.174
28,兵庫県,0.743,0.777,0.586,0.192,0.189,0.191,0.134
29,奈良県,0.784,0.811,0.599,0.193,0.189,0.184,0.077
30,和歌山県,0.715,0.746,0.599,0.187,0.231,0.143,0.169
31,鳥取県,0.834,0.686,0.754,0.229,0.196,0.174,0.072
32,島根県,0.79,0.613,0.739,0.239,0.152,0.116,0.15
33,岡山県,0.772,0.591,0.713,0.181,0.215,0.159,0.062
34,広島県,0.771,0.821,0.641,0.186,0.178,0.182,0.101
35,山口県,0.767,0.84,0.66,0.196,0.203,0.152,0.158
36,徳島県,0.787,0.766,0.733,0.208,0.235,0.17,0.118
37,香川県,0.762,0.951,0.659,0.218,0.186,0.159,0.1
38,愛媛県,0.777,0.955,0.65,0.172,0.2,0.14,0.115
39,高知県,0.794,0.702,0.737,0.226,0.198,0.153,0.117
40,福岡県,0.752,0.836,0.672,0.172,0.205,0.195,0.091
41,佐賀県,0.765,0.698,0.639,0.187,0.181,0.14,0.117
42,長崎県,0.758,0.753,0.648,0.181,0.175,0.147,0.101
43,熊本県,0.779,0.803,0.724,0.197,0.193,0.164,0.081
44,大分県,0.742,0.88,0.672,0.179,0.202,0.194,0.145
45,宮崎県,0.746,0.832,0.706,0.224,0.167,0.139,0.1
46,鹿児島県,0.757,0.875,0.67,0.209,0.177,0.144,0.121
47,沖縄県,0.814,1,0.683,0.187,0.185,0.26,0.079
