code,prefecture,【07】都道府県の副知事の男女比,【08】都道府県の管理職の男女比＝教育委員会を除外,【09】都道府県審議会委員の男女比＝防災会議を除外,【10】都道府県防災会議の男女比,【11】都道府県の選挙管理委員会など地方自治法１８０条の５に基づく委員会の男女比＝教育委員会を除外,【12】都道府県庁の大卒程度採用の男女比,【13】都道府県職員の育休取得率の男女格差_inverse,【14】市区町村の管理職の男女比,【15】市区町村の審議会の男女比＝防災会議を除外,【16】市区町村防災会議の男女比
1,北海道,0,0.081,0.539,0.113,0.046,0.445,0.15,0.163,0.349,0.043
2,青森県,0,0.076,0.452,0.277,0.246,0.608,0.255,0.186,0.38,0.056
3,岩手県,0,0.1,0.544,0.185,0.333,0.601,0.219,0.199,0.413,0.162
4,宮城県,0,0.103,0.457,0.115,0.145,0.544,0.132,0.263,0.427,0.091
5,秋田県,0,0.083,0.351,0.109,0.302,0.522,0.423,0.232,0.382,0.127
6,山形県,0,0.185,0.563,0.109,0.4,0.55,0.308,0.228,0.359,0.101
7,福島県,0,0.088,0.527,0.286,0.525,0.435,0.261,0.159,0.367,0.073
8,茨城県,0,0.1,0.658,0.368,0.136,0.415,0.151,0.155,0.395,0.12
9,栃木県,0,0.125,0.552,0.273,0.353,0.586,0.107,0.182,0.451,0.119
10,群馬県,0,0.148,0.609,0.293,0.324,0.437,0.125,0.164,0.317,0.117
11,埼玉県,0,0.122,0.649,0.304,0.214,0.663,0.202,0.19,0.448,0.139
12,千葉県,0,0.086,0.448,0.293,0.105,0.471,0.165,0.149,0.395,0.163
13,東京都,0,0.202,0.596,0.338,0.194,0.829,0.082,0.21,0.443,0.165
14,神奈川県,0,0.165,0.429,0.143,0.167,0.57,0.145,0.216,0.476,0.123
15,新潟県,0,0.123,0.571,0.203,0.217,0.503,0.147,0.175,0.421,0.092
16,富山県,1,0.192,0.446,0.196,0.255,0.656,0.173,0.331,0.331,0.112
17,石川県,1,0.128,0.749,0.15,0.109,0.508,0.153,0.296,0.408,0.098
18,福井県,0,0.199,0.604,0.217,0.432,0.584,0.265,0.319,0.449,0.125
19,山梨県,0,0.125,0.4,0.032,0.154,0.592,0.051,0.18,0.354,0.133
20,長野県,0,0.097,0.658,0.231,0.485,0.532,0.081,0.143,0.423,0.09
21,岐阜県,0,0.198,0.734,0.386,0.389,0.602,0.178,0.195,0.421,0.101
22,静岡県,0,0.126,0.522,0.071,0.432,0.408,0.139,0.173,0.431,0.1
23,愛知県,0.333,0.129,0.547,0.113,0.228,0.534,0.16,0.209,0.423,0.138
24,三重県,1,0.118,0.478,0.161,0.286,0.937,0.171,0.277,0.42,0.105
25,滋賀県,1,0.126,0.621,0.512,0.273,0.517,0.206,0.327,0.526,0.128
26,京都府,0,0.191,0.484,0.245,0.184,0.805,0.186,0.246,0.472,0.14
27,大阪府,0,0.098,0.509,0.151,0.152,0.735,0.159,0.223,0.472,0.157
28,兵庫県,0,0.166,0.502,0.143,0.145,0.54,0.086,0.244,0.451,0.137
29,奈良県,0,0.109,0.504,0.151,0.314,0.738,0.186,0.294,0.356,0.098
30,和歌山県,0,0.109,0.479,0.17,0.196,0.673,0.089,0.28,0.367,0.096
31,鳥取県,0,0.282,0.777,0.725,0.742,0.838,0.443,0.376,0.509,0.206
32,島根県,0,0.173,0.763,0.738,0.246,0.424,0.21,0.281,0.41,0.15
33,岡山県,0,0.122,0.529,0.18,0.354,0.664,0.237,0.198,0.474,0.212
34,広島県,1,0.133,0.435,0.304,0.15,0.615,0.19,0.228,0.406,0.094
35,山口県,0,0.089,0.52,0.2,0.206,0.511,0.131,0.184,0.446,0.141
36,徳島県,1,0.17,1,0.884,0.319,0.728,0.131,0.308,0.394,0.106
37,香川県,0,0.173,0.532,0.2,0.271,0.7,0.11,0.192,0.446,0.144
38,愛媛県,0,0.11,0.49,0.132,0.26,0.593,0.1,0.102,0.426,0.117
39,高知県,0,0.147,0.457,0.111,0.356,1,0.345,0.241,0.465,0.118
40,福岡県,0.5,0.184,0.527,0.271,0.292,0.796,0.078,0.194,0.547,0.211
41,佐賀県,0,0.149,0.592,0.353,0.348,0.75,0.098,0.175,0.442,0.235
42,長崎県,0,0.155,0.562,0.153,0.11,0.646,0.13,0.133,0.325,0.082
43,熊本県,0,0.111,0.509,0.239,0.46,0.56,0.061,0.152,0.356,0.088
44,大分県,0,0.093,0.496,0.093,0.326,0.596,0.231,0.171,0.431,0.107
45,宮崎県,0,0.085,0.614,0.196,0.105,0.457,0.293,0.144,0.396,0.088
46,鹿児島県,0,0.119,0.623,0.425,0.191,0.721,0.091,0.138,0.345,0.062
47,沖縄県,0,0.2,0.535,0.273,0.311,0.538,0.199,0.186,0.487,0.092
