code,prefecture,行政,教育,政治,経済
1,北海道,0.211,0.519,0.218,0.403
2,青森県,0.242,0.596,0.153,0.426
3,岩手県,0.284,0.615,0.169,0.43
4,宮城県,0.251,0.604,0.214,0.424
5,秋田県,0.261,0.566,0.168,0.418
6,山形県,0.294,0.6,0.244,0.424
7,福島県,0.271,0.543,0.148,0.424
8,茨城県,0.262,0.614,0.195,0.422
9,栃木県,0.271,0.611,0.238,0.419
10,群馬県,0.261,0.573,0.169,0.417
11,埼玉県,0.289,0.542,0.236,0.417
12,千葉県,0.233,0.562,0.252,0.415
13,東京都,0.291,0.674,0.352,0.449
14,神奈川県,0.259,0.667,0.257,0.418
15,新潟県,0.259,0.549,0.219,0.429
16,富山県,0.308,0.669,0.146,0.425
17,石川県,0.307,0.665,0.147,0.43
18,福井県,0.372,0.583,0.182,0.417
19,山梨県,0.218,0.543,0.138,0.439
20,長野県,0.275,0.615,0.191,0.423
21,岐阜県,0.298,0.625,0.172,0.419
22,静岡県,0.26,0.567,0.2,0.415
23,愛知県,0.284,0.616,0.185,0.42
24,三重県,0.297,0.597,0.226,0.405
25,滋賀県,0.335,0.58,0.206,0.414
26,京都府,0.297,0.63,0.23,0.434
27,大阪府,0.257,0.594,0.248,0.432
28,兵庫県,0.272,0.623,0.207,0.418
29,奈良県,0.264,0.615,0.156,0.424
30,和歌山県,0.241,0.603,0.163,0.422
31,鳥取県,0.439,0.608,0.182,0.452
32,島根県,0.356,0.601,0.159,0.43
33,岡山県,0.312,0.641,0.211,0.42
34,広島県,0.275,0.68,0.188,0.416
35,山口県,0.255,0.6,0.191,0.425
36,徳島県,0.357,0.675,0.166,0.448
37,香川県,0.296,0.606,0.194,0.416
38,愛媛県,0.244,0.611,0.169,0.42
39,高知県,0.303,0.654,0.158,0.45
40,福岡県,0.343,0.625,0.187,0.432
41,佐賀県,0.305,0.592,0.144,0.431
42,長崎県,0.259,0.573,0.158,0.413
43,熊本県,0.252,0.614,0.162,0.431
44,大分県,0.269,0.533,0.179,0.433
45,宮崎県,0.236,0.561,0.139,0.431
46,鹿児島県,0.237,0.547,0.16,0.429
47,沖縄県,0.299,0.641,0.17,0.447
