code,prefecture,【01】歴代知事の在職年数の男女比,【02】衆参両院の選挙区選出議員の男女比,【03】都道府県議会の男女比,【04】女性ゼロ議会,【05】市区町村議会の男女比,【06】市区町村長の男女比
1,北海道,1,18,9,42,22,28
2,青森県,8,11,21,47,45,23
3,岩手県,8,11,31,31,21,29
4,宮城県,8,7,11,18,20,10
5,秋田県,8,11,21,32,41,29
6,山形県,2,1,25,37,37,20
7,福島県,8,4,32,46,46,29
8,茨城県,8,6,35,17,15,25
9,栃木県,8,25,8,1,16,2
10,群馬県,8,25,24,37,31,20
11,埼玉県,8,31,14,7,4,5
12,千葉県,3,29,19,1,6,3
13,東京都,7,10,1,15,1,1
14,神奈川県,8,5,7,1,2,8
15,新潟県,8,2,38,20,17,7
16,富山県,8,35,35,29,39,29
17,石川県,8,35,37,22,43,29
18,福井県,8,7,45,27,36,9
19,山梨県,8,7,45,45,43,29
20,長野県,8,35,6,19,10,27
21,岐阜県,8,25,28,28,22,29
22,静岡県,8,18,18,14,12,20
23,愛知県,8,31,42,8,9,26
24,三重県,8,3,29,10,8,16
25,滋賀県,3,18,27,22,11,29
26,京都府,8,30,4,26,5,6
27,大阪府,3,24,12,1,3,24
28,兵庫県,8,34,16,9,7,14
29,奈良県,8,11,39,43,13,29
30,和歌山県,8,11,44,37,33,17
31,鳥取県,8,35,20,22,17,12
32,島根県,8,35,26,22,35,29
33,岡山県,8,25,3,11,28,15
34,広島県,8,17,29,1,26,29
35,山口県,8,35,9,12,29,12
36,徳島県,8,35,42,33,34,4
37,香川県,8,35,2,1,31,29
38,愛媛県,8,18,40,20,19,29
39,高知県,8,35,13,44,22,19
40,福岡県,8,33,17,16,14,17
41,佐賀県,8,35,41,30,30,29
42,長崎県,8,18,15,36,47,29
43,熊本県,3,35,33,35,40,29
44,大分県,8,11,47,13,41,11
45,宮崎県,8,35,33,40,26,29
46,鹿児島県,8,35,5,41,37,29
47,沖縄県,8,18,21,34,25,29
