code,prefecture,教育業界就業者,学生関連
1,北海道,46,45
2,青森県,24,24
3,岩手県,34,9
4,宮城県,16,29
5,秋田県,40,29
6,山形県,22,21
7,福島県,47,32
8,茨城県,12,22
9,栃木県,8,34
10,群馬県,37,31
11,埼玉県,34,46
12,千葉県,38,36
13,東京都,7,3
14,神奈川県,1,23
15,新潟県,41,40
16,富山県,4,10
17,石川県,2,17
18,福井県,31,32
19,山梨県,27,47
20,長野県,13,20
21,岐阜県,5,35
22,静岡県,30,41
23,愛知県,28,12
24,三重県,14,36
25,滋賀県,14,43
26,京都府,25,8
27,大阪府,22,28
28,兵庫県,33,7
29,奈良県,21,15
30,和歌山県,9,38
31,鳥取県,19,19
32,島根県,20,26
33,岡山県,9,11
34,広島県,3,6
35,山口県,44,5
36,徳島県,9,1
37,香川県,17,25
38,愛媛県,26,16
39,高知県,5,13
40,福岡県,17,13
41,佐賀県,29,26
42,長崎県,42,18
43,熊本県,45,2
44,大分県,43,42
45,宮崎県,39,38
46,鹿児島県,36,44
47,沖縄県,32,3
