code,prefecture,【24】就業率の男女差,【25】フルタイムの仕事に従事する割合の男女比,【26】フルタイムの仕事に従事する男女間の賃金格差,【27】共働き家庭の家事・育児などに使用する時間の男女格差_inverse,【28】企業や法人の役員・管理職の男女比,【29】社長数の男女比,【30】農協・漁協役員の男女比
1,北海道,46,24,36,35,38,22,45
2,青森県,40,12,1,45,20,21,40
3,岩手県,29,4,13,8,30,32,37
4,宮城県,39,15,28,20,21,32,14
5,秋田県,47,2,24,21,36,43,15
6,山形県,14,3,39,15,38,46,20
7,福島県,43,14,25,6,15,40,21
8,茨城県,30,45,44,13,27,3,12
9,栃木県,36,16,45,26,28,19,18
10,群馬県,16,25,38,41,34,41,8
11,埼玉県,38,46,14,11,42,27,11
12,千葉県,33,43,22,15,44,12,30
13,東京都,10,5,32,4,9,2,16
14,神奈川県,33,47,32,17,32,10,9
15,新潟県,13,18,9,1,47,47,16
16,富山県,25,9,17,13,41,38,23
17,石川県,3,10,19,47,9,38,5
18,福井県,7,10,34,10,45,45,42
19,山梨県,24,27,29,2,26,6,5
20,長野県,10,21,29,24,46,42,3
21,岐阜県,18,39,42,29,42,25,1
22,静岡県,17,19,41,28,34,35,34
23,愛知県,32,40,42,31,31,16,2
24,三重県,28,40,46,41,33,26,29
25,滋賀県,22,38,34,35,36,29,9
26,京都府,5,35,19,29,7,17,13
27,大阪府,21,32,27,46,9,4,4
28,兵庫県,41,37,36,26,16,6,31
29,奈良県,43,40,3,25,16,9,26
30,和歌山県,42,44,14,31,2,30,19
31,鳥取県,4,8,5,5,13,13,25
32,島根県,20,7,10,3,40,44,27
33,岡山県,26,32,29,38,3,14,43
34,広島県,30,36,26,35,23,10,41
35,山口県,43,23,8,23,5,23,35
36,徳島県,7,17,6,19,1,14,28
37,香川県,26,29,47,12,18,20,46
38,愛媛県,33,31,19,43,7,35,24
39,高知県,2,1,3,6,9,23,39
40,福岡県,18,28,11,43,4,5,31
41,佐賀県,12,30,7,31,22,34,21
42,長崎県,23,34,22,38,25,27,44
43,熊本県,6,6,39,22,14,18,38
44,大分県,37,26,16,40,6,6,7
45,宮崎県,14,13,12,9,29,37,35
46,鹿児島県,9,22,18,18,24,30,31
47,沖縄県,1,19,2,31,19,1,47
