code,prefecture,【17】四年制大学進学率の男女差
1,北海道,0.826
2,青森県,0.893
3,岩手県,0.95
4,宮城県,0.884
5,秋田県,0.884
6,山形県,0.897
7,福島県,0.881
8,茨城県,0.896
9,栃木県,0.879
10,群馬県,0.882
11,埼玉県,0.818
12,千葉県,0.871
13,東京都,0.986
14,神奈川県,0.894
15,新潟県,0.859
16,富山県,0.94
17,石川県,0.915
18,福井県,0.881
19,山梨県,0.801
20,長野県,0.898
21,岐阜県,0.875
22,静岡県,0.849
23,愛知県,0.932
24,三重県,0.871
25,滋賀県,0.841
26,京都府,0.955
27,大阪府,0.887
28,兵庫県,0.956
29,奈良県,0.923
30,和歌山県,0.87
31,鳥取県,0.901
32,島根県,0.89
33,岡山県,0.938
34,広島県,0.957
35,山口県,0.965
36,徳島県,1
37,香川県,0.892
38,愛媛県,0.922
39,高知県,0.926
40,福岡県,0.926
41,佐賀県,0.89
42,長崎県,0.903
43,熊本県,0.995
44,大分県,0.843
45,宮崎県,0.87
46,鹿児島県,0.832
47,沖縄県,0.986
