code,prefecture,【01】歴代知事の在職年数の男女比,【02】衆参両院の選挙区選出議員の男女比,【03】都道府県議会の男女比,【04】女性ゼロ議会,【05】市区町村議会の男女比,【06】市区町村長の男女比
1,北海道,0.267,0.2,0.205,0.749,0.161,0.006
2,青森県,0,0.25,0.171,0.675,0.108,0.026
3,岩手県,0,0.25,0.116,0.848,0.164,0
4,宮城県,0,0.333,0.204,0.914,0.165,0.061
5,秋田県,0,0.25,0.171,0.84,0.114,0
6,山形県,0.226,0.667,0.162,0.8,0.128,0.029
7,福島県,0,0.4,0.115,0.678,0.104,0
8,茨城県,0,0.375,0.111,0.932,0.17,0.023
9,栃木県,0,0.167,0.22,1,0.169,0.136
10,群馬県,0,0.167,0.163,0.8,0.144,0.029
11,埼玉県,0,0.095,0.192,0.984,0.303,0.086
12,千葉県,0.118,0.118,0.173,1,0.241,0.102
13,東京都,0.101,0.321,0.451,0.935,0.436,0.17
14,神奈川県,0,0.389,0.224,1,0.308,0.065
15,新潟県,0,0.6,0.104,0.9,0.167,0.071
16,富山県,0,0,0.111,0.867,0.121,0
17,石川県,0,0,0.108,0.895,0.111,0
18,福井県,0,0.333,0.057,0.882,0.129,0.062
19,山梨県,0,0.333,0.057,0.704,0.111,0
20,長野県,0,0,0.239,0.909,0.216,0.013
21,岐阜県,0,0.167,0.15,0.881,0.161,0
22,静岡県,0,0.2,0.175,0.943,0.195,0.029
23,愛知県,0,0.095,0.086,0.981,0.217,0.019
24,三重県,0,0.5,0.143,0.966,0.226,0.036
25,滋賀県,0.118,0.2,0.158,0.895,0.2,0
26,京都府,0,0.111,0.277,0.885,0.265,0.083
27,大阪府,0.118,0.174,0.197,1,0.304,0.024
28,兵庫県,0,0.059,0.178,0.976,0.232,0.051
29,奈良県,0,0.25,0.103,0.744,0.18,0
30,和歌山県,0,0.25,0.077,0.8,0.142,0.034
31,鳥取県,0,0,0.172,0.895,0.167,0.056
32,島根県,0,0,0.161,0.895,0.135,0
33,岡山県,0,0.167,0.279,0.963,0.15,0.038
34,広島県,0,0.222,0.143,1,0.151,0
35,山口県,0,0,0.205,0.947,0.149,0.056
36,徳島県,0,0,0.086,0.833,0.137,0.091
37,香川県,0,0,0.29,1,0.144,0
38,愛媛県,0,0.2,0.093,0.9,0.166,0
39,高知県,0,0,0.194,0.735,0.161,0.03
40,福岡県,0,0.062,0.176,0.933,0.175,0.034
41,佐賀県,0,0,0.088,0.85,0.146,0
42,長崎県,0,0.2,0.179,0.81,0.095,0
43,熊本県,0.118,0,0.114,0.822,0.116,0
44,大分県,0,0.25,0.049,0.944,0.114,0.059
45,宮崎県,0,0,0.114,0.769,0.151,0
46,鹿児島県,0,0,0.275,0.767,0.128,0
47,沖縄県,0,0.2,0.171,0.829,0.154,0
