code,prefecture,【07】都道府県の副知事の男女比,【08】都道府県の管理職の男女比,【09】都道府県審議会委員の男女比,【10】都道府県防災会議の男女比,【11】都道府県の選挙管理委員会など地方自治法１８０条の５に基づく委員会の男女比＝教育委員会を除外,【12】都道府県庁の大卒程度採用の男女比,【13】都道府県職員の育休取得率の男女格差_inverse,【14】市区町村の管理職の男女比,【15】市区町村の審議会の男女比＝防災会議を除く),【16】市区町村防災会議の男女比
1,北海道,0,0.076,0.543,0.19,0.056,0.569,0.336,0.173,0.361,0.052
2,青森県,0,0.082,0.451,0.25,0.288,0.725,0.364,0.193,0.369,0.068
3,岩手県,0,0.102,0.479,0.185,0.356,0.59,0.524,0.219,0.421,0.163
4,宮城県,0,0.099,0.479,0.364,0.148,0.511,0.207,0.259,0.442,0.137
5,秋田県,0,0.114,0.345,0.13,0.333,0.392,0.574,0.267,0.388,0.139
6,山形県,0,0.207,0.582,0.17,0.375,0.639,0.472,0.256,0.375,0.103
7,福島県,0,0.103,0.571,0.256,0.605,0.57,0.456,0.158,0.378,0.079
8,茨城県,0,0.121,0.712,0.3,0.154,0.595,0.314,0.159,0.406,0.127
9,栃木県,0,0.124,0.516,0.273,0.353,0.732,0.192,0.195,0.45,0.133
10,群馬県,0,0.187,0.643,0.233,0.324,0.67,0.229,0.17,0.315,0.122
11,埼玉県,0,0.128,0.659,0.46,0.244,0.62,0.315,0.194,0.46,0.141
12,千葉県,0,0.084,0.468,0.395,0.125,0.399,0.285,0.162,0.403,0.156
13,東京都,0,0.178,0.693,0.438,0.211,0.548,0.22,0.211,0.461,0.16
14,神奈川県,0,0.166,0.44,0.163,0.186,0.628,0.255,0.217,0.508,0.091
15,新潟県,0,0.128,0.566,0.213,0.217,0.748,0.267,0.172,0.424,0.108
16,富山県,1,0.218,0.452,0.218,0.229,0.732,0.364,0.358,0.337,0.104
17,石川県,1,0.143,0.742,0.207,0.13,0.6,0.261,0.325,0.436,0.127
18,福井県,1,0.225,0.7,0.677,0.465,0.482,0.416,0.323,0.447,0.157
19,山梨県,0,0.139,0.408,0.067,0.143,0.59,0.16,0.179,0.355,0.139
20,長野県,0,0.112,0.674,0.27,0.441,0.72,0.253,0.154,0.435,0.102
21,岐阜県,0,0.211,0.737,0.356,0.389,0.656,0.277,0.196,0.427,0.095
22,静岡県,0,0.132,0.52,0.212,0.432,0.609,0.243,0.18,0.435,0.097
23,愛知県,0.333,0.133,0.559,0.127,0.232,0.712,0.354,0.225,0.423,0.147
24,三重県,1,0.13,0.48,0.182,0.312,0.786,0.222,0.275,0.427,0.124
25,滋賀県,1,0.134,0.626,0.476,0.273,0.608,0.286,0.317,0.551,0.121
26,京都府,0,0.177,0.517,0.245,0.184,0.808,0.228,0.261,0.5,0.156
27,大阪府,0,0.101,0.486,0.167,0.152,0.529,0.294,0.23,0.487,0.151
28,兵庫県,0,0.163,0.508,0.143,0.129,0.736,0.176,0.259,0.464,0.155
29,奈良県,0,0.115,0.506,0.151,0.394,0.698,0.212,0.297,0.391,0.1
30,和歌山県,0,0.137,0.481,0.167,0.2,0.713,0.172,0.23,0.377,0.102
31,鳥取県,0,0.316,0.76,0.725,0.742,0.777,0.442,0.374,0.529,0.208
32,島根県,0,0.172,0.769,0.714,0.246,1,0.321,0.297,0.426,0.176
33,岡山県,0,0.136,0.52,0.18,0.422,0.767,0.362,0.196,0.489,0.21
34,広島県,1,0.146,0.436,0.377,0.172,0.57,0.214,0.242,0.425,0.113
35,山口県,0,0.102,0.516,0.2,0.226,0.618,0.253,0.198,0.452,0.136
36,徳島県,0,0.186,1,0.976,0.319,0.835,0.162,0.314,0.418,0.122
37,香川県,0,0.177,0.535,0.224,0.277,0.821,0.273,0.214,0.445,0.171
38,愛媛県,0,0.119,0.482,0.132,0.245,0.815,0.158,0.105,0.447,0.124
39,高知県,0,0.197,0.458,0.111,0.356,0.748,0.419,0.256,0.463,0.138
40,福岡県,0.5,0.208,0.498,0.298,0.292,1,0.172,0.206,0.553,0.218
41,佐賀県,0,0.156,0.626,0.358,0.306,0.792,0.149,0.19,0.467,0.215
42,長崎県,1,0.165,0.56,0.153,0.133,0.774,0.26,0.138,0.339,0.086
43,熊本県,0,0.122,0.479,0.468,0.404,0.752,0.181,0.164,0.35,0.086
44,大分県,0,0.098,0.546,0.304,0.326,0.743,0.31,0.164,0.456,0.101
45,宮崎県,0,0.09,0.59,0.196,0.13,0.533,0.359,0.165,0.398,0.1
46,鹿児島県,0,0.125,0.653,0.425,0.197,0.63,0.173,0.152,0.356,0.07
47,沖縄県,0,0.211,0.563,0.273,0.311,0.849,0.295,0.188,0.488,0.097
