code,prefecture,行政,教育,政治,経済
1,北海道,47,47,11,47
2,青森県,41,30,41,19
3,岩手県,20,15,29,14
4,宮城県,39,24,12,22
5,秋田県,31,38,32,34
6,山形県,17,27,5,22
7,福島県,26,43,42,22
8,茨城県,29,18,17,27
9,栃木県,25,20,6,32
10,群馬県,29,35,29,37
11,埼玉県,19,45,7,37
12,千葉県,45,39,3,42
13,東京都,18,3,1,3
14,神奈川県,33,5,2,34
15,新潟県,31,41,10,17
16,富山県,8,4,44,20
17,石川県,9,6,43,14
18,福井県,2,33,24,37
19,山梨県,46,43,47,6
20,長野県,22,15,19,26
21,岐阜県,13,11,27,32
22,静岡県,33,37,16,42
23,愛知県,20,14,23,29
24,三重県,15,29,9,46
25,滋賀県,6,34,15,44
26,京都府,13,10,8,7
27,大阪府,36,31,4,9
28,兵庫県,24,13,14,34
29,奈良県,28,15,40,22
30,和歌山県,41,25,34,27
31,鳥取県,1,22,24,1
32,島根県,5,26,37,14
33,岡山県,7,8,13,29
34,広島県,22,1,21,40
35,山口県,37,27,19,20
36,徳島県,3,2,33,4
37,香川県,15,23,18,40
38,愛媛県,40,20,29,29
39,高知県,11,7,38,2
40,福岡県,4,11,22,9
41,佐賀県,10,32,45,11
42,長崎県,33,35,38,45
43,熊本県,38,18,35,11
44,大分県,27,46,26,8
45,宮崎県,44,40,46,11
46,鹿児島県,43,42,36,17
47,沖縄県,12,8,28,5
