code,prefecture,【18】小学校の校長の男女比,【19】中学の校長の男女比,【20】高校の校長の男女比,【21】小中高校の副校長・教頭の男女比,【22】都道府県教育委員会委員の男女比,【23】都道府県教育委員会事務局の管理職の男女比
1,北海道,43,37,44,46,16,38
2,青森県,40,42,2,42,16,4
3,岩手県,31,40,32,17,16,23
4,宮城県,22,6,34,30,1,19
5,秋田県,34,36,30,27,16,45
6,山形県,35,39,6,25,1,43
7,福島県,45,46,43,47,16,42
8,茨城県,15,17,15,15,1,34
9,栃木県,5,15,20,5,16,17
10,群馬県,27,34,19,18,16,47
11,埼玉県,28,15,40,38,16,21
12,千葉県,17,28,45,35,16,36
13,東京都,26,13,8,23,1,9
14,神奈川県,4,1,1,6,1,19
15,新潟県,38,32,38,43,16,32
16,富山県,3,2,27,3,16,10
17,石川県,1,3,4,2,16,39
18,福井県,7,21,41,13,44,29
19,山梨県,44,47,2,31,1,28
20,長野県,25,19,10,36,1,13
21,岐阜県,13,14,27,7,1,1
22,静岡県,22,26,7,22,45,14
23,愛知県,19,31,18,19,1,46
24,三重県,16,30,37,9,1,18
25,滋賀県,24,20,12,10,16,15
26,京都府,10,11,23,24,16,35
27,大阪府,18,7,12,37,16,39
28,兵庫県,33,23,35,34,16,12
29,奈良県,30,25,27,28,16,3
30,和歌山県,11,22,9,8,16,16
31,鳥取県,14,33,46,12,16,2
32,島根県,46,24,11,39,1,5
33,岡山県,9,12,15,16,16,6
34,広島県,2,4,26,4,16,8
35,山口県,28,40,35,26,45,41
36,徳島県,39,10,5,14,16,7
37,香川県,8,44,21,11,1,24
38,愛媛県,36,37,24,41,1,11
39,高知県,6,5,14,1,16,24
40,福岡県,12,8,17,20,16,22
41,佐賀県,20,9,21,20,16,37
42,長崎県,47,27,33,45,16,31
43,熊本県,32,45,38,29,45,30
44,大分県,37,29,47,33,16,44
45,宮崎県,41,43,42,40,1,33
46,鹿児島県,42,35,31,44,1,27
47,沖縄県,20,18,25,31,16,24
