code,prefecture,【07】都道府県の副知事の男女比,【08】都道府県の管理職の男女比,【09】都道府県審議会委員の男女比,【10】都道府県防災会議の男女比,【11】都道府県の選挙管理委員会など地方自治法１８０条の５に基づく委員会の男女比＝教育委員会を除外,【12】都道府県庁の大卒程度採用の男女比,【13】都道府県職員の育休取得率の男女格差_inverse,【14】市区町村の管理職の男女比,【15】市区町村の審議会の男女比＝防災会議を除く),【16】市区町村防災会議の男女比
1,北海道,10,47,23,32,47,40,13,35,41,47
2,青森県,10,46,43,22,22,19,8,30,40,46
3,岩手県,10,39,37,33,11,36,2,20,30,7
4,宮城県,10,42,37,12,40,44,37,12,20,19
5,秋田県,10,36,47,44,14,47,1,10,36,16
6,山形県,10,7,16,36,10,27,3,14,39,32
7,福島県,10,38,17,21,2,38,4,43,37,44
8,茨城県,10,33,6,16,38,35,16,42,32,22
9,栃木県,10,31,28,18,13,17,38,28,16,21
10,群馬県,10,9,12,24,16,25,31,37,47,26
11,埼玉県,10,28,10,7,27,30,15,29,13,15
12,千葉県,10,45,40,10,46,46,21,41,33,10
13,東京都,10,11,8,8,32,41,34,23,12,8
14,神奈川県,10,15,44,39,35,29,27,21,4,41
15,新潟県,10,28,18,27,31,13,24,36,28,30
16,富山県,1,3,42,26,29,17,8,2,46,31
17,石川県,1,20,4,29,43,34,25,3,21,22
18,福井県,1,2,7,4,3,45,7,4,17,9
19,山梨県,10,21,46,47,41,36,45,34,43,16
20,長野県,10,37,9,20,4,20,28,44,22,33
21,岐阜県,10,4,5,14,9,26,22,26,24,40
22,静岡県,10,26,25,28,5,32,30,33,22,38
23,愛知県,9,25,21,45,28,22,12,19,29,14
24,三重県,1,27,36,34,18,8,33,9,24,24
25,滋賀県,1,24,13,5,24,33,20,5,2,28
26,京都府,10,12,27,23,36,6,32,11,5,10
27,大阪府,10,41,33,37,39,43,19,17,8,13
28,兵庫県,10,17,30,42,45,16,40,12,10,12
29,奈良県,10,35,31,41,8,24,36,7,35,36
30,和歌山県,10,22,35,37,33,21,42,17,38,33
31,鳥取県,10,1,3,2,1,9,5,1,3,4
32,島根県,10,14,2,3,25,23,14,7,26,5
33,岡山県,10,23,25,35,6,11,10,26,6,3
34,広島県,1,19,45,11,37,38,35,16,27,29
35,山口県,10,39,28,30,30,31,28,25,15,20
36,徳島県,10,10,1,1,17,3,44,6,31,26
37,香川県,10,12,24,25,23,4,23,22,19,6
38,愛媛県,10,34,34,43,26,5,46,47,17,24
39,高知県,10,8,41,46,11,13,6,14,11,18
40,福岡県,8,6,32,17,21,1,42,24,1,1
41,佐賀県,10,18,13,13,20,7,47,31,9,2
42,長崎県,1,16,20,40,42,10,26,46,45,42
43,熊本県,10,32,37,6,7,12,39,39,44,42
44,大分県,10,43,22,15,15,15,17,39,14,35
45,宮崎県,10,44,15,31,43,42,11,38,34,36
46,鹿児島県,10,30,11,9,34,28,41,45,42,45
47,沖縄県,10,4,19,18,19,2,18,32,7,38
