code,prefecture,【18】小学校の校長の男女比,【19】中学の校長の男女比,【20】高校の校長の男女比,【21】小中高校の副校長・教頭の男女比,【22】都道府県教育委員会委員の男女比,【23】都道府県教育委員会事務局の管理職の男女比
1,北海道,0.154,0.079,0.047,0.148,0.667,0.13
2,青森県,0.191,0.063,0.212,0.192,0.667,0.36
3,岩手県,0.307,0.069,0.085,0.387,0.667,0.222
4,宮城県,0.359,0.208,0.082,0.273,1,0.235
5,秋田県,0.286,0.08,0.089,0.329,0.667,0.062
6,山形県,0.267,0.071,0.188,0.341,1,0.091
7,福島県,0.127,0.042,0.049,0.145,0.667,0.095
8,茨城県,0.454,0.133,0.137,0.419,1,0.15
9,栃木県,0.624,0.134,0.113,0.604,0.667,0.25
10,群馬県,0.345,0.086,0.116,0.381,0.667,0.033
11,埼玉県,0.338,0.134,0.068,0.232,0.667,0.228
12,千葉県,0.429,0.098,0.041,0.258,0.667,0.143
13,東京都,0.347,0.141,0.169,0.346,1,0.327
14,神奈川県,0.728,0.274,0.242,0.566,1,0.235
15,新潟県,0.213,0.092,0.078,0.19,0.667,0.156
16,富山県,0.76,0.254,0.093,0.637,0.667,0.322
17,石川県,1,0.246,0.196,0.657,0.667,0.128
18,福井県,0.508,0.119,0.067,0.457,0.5,0.182
19,山梨県,0.134,0.038,0.212,0.268,1,0.187
20,長野県,0.349,0.124,0.16,0.247,1,0.3
21,岐阜県,0.456,0.136,0.093,0.532,1,0.508
22,静岡県,0.359,0.109,0.17,0.363,0.25,0.291
23,愛知県,0.403,0.093,0.119,0.369,1,0.049
24,三重県,0.443,0.095,0.079,0.505,1,0.246
25,滋賀県,0.354,0.12,0.146,0.497,0.667,0.286
26,京都府,0.477,0.146,0.107,0.344,0.667,0.147
27,大阪府,0.406,0.189,0.146,0.242,0.667,0.128
28,兵庫県,0.298,0.114,0.081,0.262,0.667,0.302
29,奈良県,0.324,0.11,0.093,0.285,0.667,0.412
30,和歌山県,0.474,0.118,0.162,0.53,0.667,0.255
31,鳥取県,0.455,0.087,0.032,0.463,0.667,0.465
32,島根県,0.118,0.111,0.15,0.22,1,0.35
33,岡山県,0.478,0.144,0.137,0.413,0.667,0.342
34,広島県,0.845,0.237,0.098,0.629,0.667,0.333
35,山口県,0.338,0.069,0.081,0.338,0.25,0.1
36,徳島県,0.209,0.152,0.192,0.444,0.667,0.339
37,香川県,0.49,0.052,0.111,0.489,1,0.2
38,愛媛県,0.264,0.079,0.104,0.201,1,0.316
39,高知県,0.604,0.219,0.143,0.722,0.667,0.2
40,福岡県,0.473,0.165,0.128,0.364,0.667,0.226
41,佐賀県,0.364,0.157,0.111,0.364,0.667,0.139
42,長崎県,0.109,0.107,0.083,0.169,0.667,0.171
43,熊本県,0.3,0.047,0.078,0.274,0.25,0.178
44,大分県,0.26,0.096,0.019,0.263,0.667,0.083
45,宮崎県,0.169,0.061,0.065,0.207,1,0.154
46,鹿児島県,0.168,0.084,0.086,0.188,1,0.19
47,沖縄県,0.364,0.132,0.103,0.268,0.667,0.2
