code,prefecture,【24】就業率の男女差,【25】フルタイムの仕事に従事する割合の男女比,【26】フルタイムの仕事に従事する男女間の賃金格差,【27】共働き家庭の家事・育児などに使用する時間の男女格差_inverse,【28】企業や法人の役員・管理職の男女比,【29】社長数の男女比,【30】農協・漁協役員の男女比
1,北海道,0.738,0.66,0.751,0.186,0.156,0.156,0.015
2,青森県,0.755,0.698,0.819,0.17,0.184,0.159,0.041
3,岩手県,0.765,0.742,0.78,0.225,0.166,0.145,0.057
4,宮城県,0.756,0.68,0.756,0.207,0.183,0.145,0.102
5,秋田県,0.725,0.761,0.766,0.206,0.159,0.118,0.101
6,山形県,0.784,0.75,0.749,0.212,0.156,0.107,0.094
7,福島県,0.739,0.683,0.764,0.226,0.19,0.133,0.092
8,茨城県,0.764,0.569,0.741,0.213,0.171,0.202,0.104
9,栃木県,0.761,0.679,0.739,0.192,0.169,0.163,0.099
10,群馬県,0.783,0.657,0.75,0.176,0.16,0.13,0.111
11,埼玉県,0.759,0.555,0.779,0.222,0.14,0.15,0.105
12,千葉県,0.762,0.574,0.767,0.212,0.138,0.18,0.068
13,東京都,0.791,0.732,0.754,0.238,0.198,0.205,0.1
14,神奈川県,0.762,0.539,0.754,0.21,0.164,0.184,0.108
15,新潟県,0.785,0.673,0.786,0.258,0.129,0.104,0.1
16,富山県,0.77,0.715,0.774,0.213,0.144,0.135,0.088
17,石川県,0.805,0.714,0.768,0.144,0.198,0.135,0.122
18,福井県,0.795,0.714,0.752,0.223,0.137,0.111,0.028
19,山梨県,0.773,0.653,0.755,0.245,0.173,0.195,0.122
20,長野県,0.791,0.67,0.755,0.195,0.132,0.123,0.165
21,岐阜県,0.778,0.582,0.742,0.188,0.14,0.154,0.189
22,静岡県,0.78,0.672,0.746,0.19,0.16,0.142,0.063
23,愛知県,0.763,0.581,0.742,0.187,0.165,0.167,0.173
24,三重県,0.766,0.581,0.736,0.176,0.163,0.151,0.069
25,滋賀県,0.775,0.586,0.752,0.186,0.159,0.147,0.108
26,京都府,0.801,0.627,0.768,0.188,0.2,0.166,0.103
27,大阪府,0.776,0.641,0.761,0.169,0.198,0.199,0.131
28,兵庫県,0.754,0.591,0.751,0.192,0.189,0.195,0.064
29,奈良県,0.739,0.581,0.802,0.193,0.189,0.186,0.077
30,和歌山県,0.743,0.573,0.779,0.187,0.231,0.146,0.096
31,鳥取県,0.803,0.716,0.801,0.229,0.196,0.177,0.08
32,島根県,0.777,0.717,0.785,0.239,0.152,0.117,0.074
33,岡山県,0.767,0.641,0.755,0.181,0.215,0.172,0.025
34,広島県,0.764,0.606,0.763,0.186,0.178,0.184,0.035
35,山口県,0.739,0.665,0.794,0.196,0.203,0.155,0.061
36,徳島県,0.795,0.677,0.799,0.208,0.235,0.172,0.07
37,香川県,0.767,0.65,0.732,0.218,0.186,0.161,0.014
38,愛媛県,0.762,0.645,0.768,0.172,0.2,0.142,0.082
39,高知県,0.808,0.769,0.802,0.226,0.198,0.155,0.047
40,福岡県,0.778,0.652,0.782,0.172,0.205,0.198,0.064
41,佐賀県,0.79,0.649,0.798,0.187,0.181,0.143,0.092
42,長崎県,0.774,0.631,0.767,0.181,0.175,0.15,0.022
43,熊本県,0.8,0.718,0.749,0.197,0.193,0.164,0.05
44,大分県,0.76,0.655,0.777,0.179,0.202,0.195,0.12
45,宮崎県,0.784,0.697,0.781,0.224,0.167,0.139,0.061
46,鹿児島県,0.793,0.669,0.771,0.209,0.177,0.146,0.064
47,沖縄県,0.811,0.672,0.812,0.187,0.185,0.259,0.011
