code,prefecture,【01】歴代知事の在職年数の男女比,【02】衆参両院の選挙区選出議員の男女比,【03】都道府県議会の男女比,【04】女性ゼロ議会,【05】市区町村議会の男女比,【06】市区町村長の男女比
1,北海道,1,5,9,44,17,31
2,青森県,8,3,22,46,45,26
3,岩手県,8,33,32,28,30,32
4,宮城県,8,1,12,15,19,11
5,秋田県,8,13,22,34,44,32
6,山形県,2,3,24,31,34,11
7,福島県,8,5,33,47,46,32
8,茨城県,8,31,35,11,22,29
9,栃木県,8,25,7,1,19,2
10,群馬県,8,25,28,36,27,11
11,埼玉県,8,28,16,7,4,4
12,千葉県,3,29,19,1,7,3
13,東京都,3,9,1,17,1,1
14,神奈川県,8,8,6,1,2,9
15,新潟県,8,1,39,18,14,8
16,富山県,8,33,35,30,41,32
17,石川県,8,33,37,22,40,32
18,福井県,8,10,45,26,38,10
19,山梨県,8,10,45,45,42,32
20,長野県,8,33,8,21,10,30
21,岐阜県,8,25,27,27,21,28
22,静岡県,8,21,21,15,12,25
23,愛知県,8,20,42,8,8,14
24,三重県,8,5,28,9,9,7
25,滋賀県,3,13,24,22,11,16
26,京都府,8,29,3,33,6,5
27,大阪府,3,24,13,1,3,20
28,兵庫県,8,32,18,12,5,19
29,奈良県,8,13,38,43,13,32
30,和歌山県,8,33,44,35,32,22
31,鳥取県,8,33,9,22,26,16
32,島根県,8,10,26,22,37,32
33,岡山県,8,21,4,10,31,6
34,広島県,8,13,28,1,22,32
35,山口県,8,33,11,13,36,16
36,徳島県,8,33,43,29,22,21
37,香川県,8,33,2,1,16,32
38,愛媛県,8,13,40,20,28,32
39,高知県,8,33,15,42,22,24
40,福岡県,8,33,20,19,18,22
41,佐賀県,8,33,41,32,28,32
42,長崎県,8,13,16,39,47,32
43,熊本県,3,33,34,38,43,32
44,大分県,8,13,47,14,35,14
45,宮崎県,8,33,31,40,15,32
46,鹿児島県,8,33,5,41,39,32
47,沖縄県,8,21,14,36,33,27
