code,prefecture,【24】就業率の男女差,【25】フルタイムの仕事に従事する割合の男女比,【26】フルタイムの仕事に従事する男女間の賃金格差,【27】共働き家庭の家事・育児などに使用する時間の男女格差_inverse,【28】企業や法人の役員・管理職の男女比,【29】社長数の男女比,【30】農協・漁協役員の男女比
1,北海道,46,39,37,35,38,25,45
2,青森県,40,15,16,45,20,18,39
3,岩手県,29,12,2,8,30,34,35
4,宮城県,39,21,29,20,21,27,13
5,秋田県,47,8,4,21,36,43,12
6,山形県,14,2,10,15,38,46,19
7,福島県,43,18,37,6,15,33,16
8,茨城県,30,35,46,13,27,4,8
9,栃木県,36,32,47,26,28,21,11
10,群馬県,16,27,22,41,34,41,8
11,埼玉県,38,47,14,11,42,28,15
12,千葉県,33,41,30,15,44,12,28
13,東京都,10,3,44,4,9,3,16
14,神奈川県,33,46,32,17,32,11,7
15,新潟県,13,9,19,1,47,47,20
16,富山県,25,19,21,13,41,39,24
17,石川県,3,25,25,47,9,40,6
18,福井県,7,7,32,10,45,45,37
19,山梨県,24,34,42,2,26,2,4
20,長野県,10,25,45,24,46,41,3
21,岐阜県,18,40,41,29,42,26,1
22,静岡県,17,31,35,28,34,34,31
23,愛知県,32,43,43,31,31,17,2
24,三重県,28,42,39,41,33,29,27
25,滋賀県,22,38,40,35,36,32,14
26,京都府,5,29,18,29,7,16,18
27,大阪府,21,28,36,46,9,5,5
28,兵庫県,41,45,26,26,16,7,29
29,奈良県,43,44,5,25,16,9,41
30,和歌山県,42,33,8,31,2,29,20
31,鳥取県,4,6,7,5,13,13,25
32,島根県,20,11,11,3,40,44,26
33,岡山県,26,17,8,38,3,14,42
34,広島県,30,24,17,35,23,10,40
35,山口県,43,29,15,23,5,23,34
36,徳島県,7,16,23,19,1,15,38
37,香川県,26,36,27,12,18,20,46
38,愛媛県,33,36,31,43,7,34,23
39,高知県,2,1,1,6,9,22,32
40,福岡県,18,22,27,43,4,6,33
41,佐賀県,12,19,11,31,22,34,22
42,長崎県,23,4,3,38,25,23,43
43,熊本県,6,4,32,22,14,18,36
44,大分県,37,14,20,40,6,8,10
45,宮崎県,14,13,6,9,29,38,44
46,鹿児島県,9,23,23,18,24,31,29
47,沖縄県,1,10,13,31,19,1,47
