code,prefecture,【07】都道府県の副知事の男女比,【08】都道府県の管理職の男女比,【09】都道府県審議会委員の男女比,【10】都道府県防災会議の男女比,【11】都道府県の選挙管理委員会など地方自治法１８０条の５に基づく委員会の男女比＝教育委員会を除外,【12】都道府県庁の大卒程度採用の男女比,【13】都道府県職員の育休取得率の男女格差_inverse,【14】市区町村の管理職の男女比,【15】市区町村の審議会の男女比＝防災会議を除く),【16】市区町村防災会議の男女比
1,北海道,10,46,24,32,47,41,16,40,41,47
2,青森県,10,44,45,16,21,27,10,31,37,45
3,岩手県,10,40,35,39,15,35,6,23,30,6
4,宮城県,10,46,36,11,38,43,40,9,13,12
5,秋田県,10,25,47,40,20,30,3,13,39,29
6,山形県,10,3,17,46,12,5,4,12,38,37
7,福島県,10,36,18,8,2,38,5,38,40,46
8,茨城県,10,21,7,12,37,40,35,44,32,28
9,栃木県,10,35,27,37,5,21,33,27,15,17
10,群馬県,10,11,13,23,14,47,29,40,46,26
11,埼玉県,10,30,2,6,10,18,22,30,14,24
12,千葉県,10,43,30,21,45,46,28,42,33,14
13,東京都,8,14,8,9,24,32,20,25,11,7
14,神奈川県,10,14,42,37,34,17,19,20,4,32
15,新潟県,10,31,16,24,35,28,22,35,22,30
16,富山県,1,4,39,30,31,19,15,2,47,37
17,石川県,10,28,5,27,46,26,11,6,20,21
18,福井県,1,2,3,5,4,16,1,5,16,10
19,山梨県,10,22,46,47,42,35,39,34,44,9
20,長野県,10,34,11,20,3,29,25,43,25,39
21,岐阜県,10,5,4,17,8,15,18,28,24,41
22,静岡県,10,28,28,22,6,45,38,31,17,36
23,愛知県,8,24,22,33,29,25,9,18,26,15
24,三重県,10,26,41,44,13,9,41,11,29,16
25,滋賀県,1,19,10,2,27,20,14,3,3,22
26,京都府,10,13,33,28,33,10,30,14,5,13
27,大阪府,10,42,37,43,40,37,34,17,7,17
28,兵庫県,10,11,44,29,41,33,45,10,12,11
29,奈良県,10,33,34,42,16,13,27,7,34,33
30,和歌山県,10,38,32,31,32,11,46,19,36,35
31,鳥取県,10,1,6,4,1,1,2,1,1,1
32,島根県,1,17,8,3,28,31,7,8,28,3
33,岡山県,10,23,28,15,18,14,26,24,6,4
34,広島県,1,10,43,19,39,12,36,15,27,20
35,山口県,10,36,31,33,30,39,17,25,10,17
36,徳島県,10,6,1,1,17,6,37,4,31,25
37,香川県,10,16,21,24,21,2,31,22,21,7
38,愛媛県,10,39,19,45,26,22,22,47,18,26
39,高知県,10,7,40,33,11,8,8,16,8,23
40,福岡県,7,8,26,14,23,24,42,21,2,2
41,佐賀県,10,20,15,13,25,7,47,29,19,5
42,長崎県,1,18,25,41,43,34,13,46,45,42
43,熊本県,10,32,38,7,7,4,43,39,41,39
44,大分県,10,41,14,18,9,3,32,36,22,43
45,宮崎県,10,45,20,36,44,44,12,37,34,33
46,鹿児島県,10,26,11,10,35,23,44,45,41,44
47,沖縄県,10,9,22,24,19,42,21,31,8,30
