code,prefecture,【01】歴代知事の在職年数の男女比,【02】衆参両院の選挙区選出議員の男女比,【03】都道府県議会の男女比,【04】女性ゼロ議会,【05】市区町村議会の男女比,【06】市区町村長の男女比
1,北海道,0.262,0.5,0.207,0.743,0.191,0.006
2,青森県,0,0.667,0.171,0.7,0.119,0.026
3,岩手県,0,0,0.116,0.879,0.168,0
4,宮城県,0,0.75,0.204,0.943,0.188,0.061
5,秋田県,0,0.25,0.171,0.84,0.122,0
6,山形県,0.242,0.667,0.162,0.857,0.151,0.061
7,福島県,0,0.5,0.115,0.678,0.118,0
8,茨城県,0,0.1,0.111,0.955,0.178,0.023
9,栃木県,0,0.167,0.225,1,0.188,0.136
10,群馬県,0,0.167,0.143,0.829,0.172,0.061
11,埼玉県,0,0.143,0.179,0.984,0.338,0.086
12,千葉県,0.116,0.111,0.177,1,0.263,0.102
13,東京都,0.116,0.345,0.457,0.935,0.505,0.216
14,神奈川県,0,0.421,0.226,1,0.342,0.065
15,新潟県,0,0.75,0.104,0.933,0.198,0.071
16,富山県,0,0,0.111,0.867,0.127,0
17,石川県,0,0,0.108,0.895,0.133,0
18,福井県,0,0.333,0.059,0.882,0.139,0.062
19,山梨県,0,0.333,0.059,0.704,0.125,0
20,長野県,0,0,0.217,0.896,0.241,0.013
21,岐阜県,0,0.167,0.15,0.881,0.187,0.024
22,静岡県,0,0.2,0.172,0.943,0.232,0.029
23,愛知県,0,0.211,0.087,0.981,0.257,0.059
24,三重県,0,0.5,0.143,0.966,0.245,0.074
25,滋賀県,0.116,0.25,0.162,0.895,0.235,0.056
26,京都府,0,0.111,0.283,0.846,0.28,0.083
27,大阪府,0.116,0.182,0.203,1,0.34,0.049
28,兵庫県,0,0.062,0.178,0.951,0.282,0.051
29,奈良県,0,0.25,0.105,0.744,0.21,0
30,和歌山県,0,0,0.077,0.833,0.162,0.034
31,鳥取県,0,0,0.207,0.895,0.175,0.056
32,島根県,0,0.333,0.161,0.895,0.14,0
33,岡山県,0,0.2,0.279,0.963,0.166,0.08
34,広島県,0,0.25,0.143,1,0.178,0
35,山口県,0,0,0.205,0.947,0.146,0.056
36,徳島県,0,0,0.086,0.875,0.178,0.043
37,香川県,0,0,0.29,1,0.193,0
38,愛媛県,0,0.25,0.093,0.9,0.171,0
39,高知県,0,0,0.194,0.765,0.178,0.03
40,福岡県,0,0,0.176,0.917,0.19,0.034
41,佐賀県,0,0,0.088,0.85,0.171,0
42,長崎県,0,0.25,0.179,0.81,0.108,0
43,熊本県,0.116,0,0.114,0.822,0.124,0
44,大分県,0,0.25,0.049,0.944,0.147,0.059
45,宮崎県,0,0,0.118,0.769,0.194,0
46,鹿児島県,0,0,0.25,0.767,0.136,0
47,沖縄県,0,0.2,0.2,0.829,0.158,0.025
