code,prefecture,【18】小学校の校長の男女比,【19】中学の校長の男女比,【20】高校の校長の男女比,【21】小中高校の副校長・教頭の男女比,【22】都道府県教育委員会委員の男女比,【23】都道府県教育委員会事務局の管理職の男女比
1,北海道,0.175,0.08,0.051,0.162,0.667,0.1
2,青森県,0.186,0.073,0.148,0.213,0.667,0.42
3,岩手県,0.327,0.07,0.152,0.377,0.667,0.17
4,宮城県,0.333,0.276,0.094,0.284,0.667,0.209
5,秋田県,0.413,0.068,0.093,0.367,0.667,0.125
6,山形県,0.309,0.111,0.217,0.356,1,0.148
7,福島県,0.159,0.06,0.062,0.172,0.667,0.076
8,茨城県,0.519,0.153,0.186,0.443,1,0.171
9,栃木県,0.662,0.153,0.113,0.615,0.667,0.234
10,群馬県,0.381,0.094,0.149,0.409,0.667,0.25
11,埼玉県,0.353,0.162,0.087,0.233,0.667,0.239
12,千葉県,0.476,0.105,0.06,0.246,0.667,0.161
13,東京都,0.342,0.142,0.187,0.363,1,0.265
14,神奈川県,0.782,0.313,0.236,0.558,1,0.307
15,新潟県,0.215,0.083,0.089,0.209,0.667,0.159
16,富山県,0.921,0.327,0.175,0.757,0.667,0.25
17,石川県,1,0.344,0.196,0.638,0.5,0.089
18,福井県,0.619,0.103,0.143,0.48,0.5,0.164
19,山梨県,0.216,0.051,0.111,0.351,0.667,0.208
20,長野県,0.388,0.109,0.145,0.293,1,0.357
21,岐阜県,0.478,0.136,0.079,0.546,1,0.5
22,静岡県,0.394,0.126,0.222,0.377,0.25,0.321
23,愛知県,0.442,0.12,0.108,0.379,1,0.09
24,三重県,0.485,0.12,0.095,0.579,1,0.286
25,滋賀県,0.473,0.192,0.122,0.488,0.667,0.174
26,京都府,0.451,0.18,0.134,0.364,0.667,0.182
27,大阪府,0.4,0.194,0.162,0.261,0.667,0.109
28,兵庫県,0.347,0.107,0.092,0.277,0.667,0.268
29,奈良県,0.353,0.099,0.095,0.283,0.667,0.714
30,和歌山県,0.51,0.186,0.171,0.547,0.5,0.5
31,鳥取県,0.642,0.042,0.067,0.401,1,0.55
32,島根県,0.113,0.128,0.179,0.258,1,0.421
33,岡山県,0.534,0.156,0.153,0.453,0.667,0.272
34,広島県,0.942,0.267,0.119,0.635,0.667,0.455
35,山口県,0.351,0.086,0.136,0.363,1,0.113
36,徳島県,0.221,0.21,0.476,0.566,0.667,0.36
37,香川県,0.521,0.071,0.143,0.496,1,0.231
38,愛媛県,0.273,0.07,0.122,0.234,1,0.19
39,高知県,0.638,0.308,0.111,0.811,0.667,0.318
40,福岡県,0.46,0.166,0.143,0.405,0.667,0.221
41,佐賀県,0.424,0.174,0.143,0.381,0.667,0.29
42,長崎県,0.127,0.109,0.13,0.184,0.667,0.181
43,熊本県,0.332,0.077,0.078,0.265,0.25,0.14
44,大分県,0.299,0.13,0.06,0.256,0.667,0.085
45,宮崎県,0.169,0.082,0.136,0.242,1,0.143
46,鹿児島県,0.207,0.085,0.114,0.216,1,0.14
47,沖縄県,0.41,0.119,0.083,0.305,0.667,0.167
