code,prefecture,【24】就業率の男女差,【25】フルタイムの仕事に従事する割合の男女比,【26】フルタイムの仕事に従事する男女間の賃金格差,【27】共働き家庭の家事・育児などに使用する時間の男女格差_inverse,【28】企業や法人の役員・管理職の男女比,【29】社長数の男女比,【30】農協・漁協役員の男女比
1,北海道,0.738,0.618,0.753,0.186,0.156,0.158,0.018
2,青森県,0.755,0.704,0.774,0.17,0.184,0.168,0.041
3,岩手県,0.765,0.711,0.803,0.225,0.166,0.146,0.056
4,宮城県,0.756,0.688,0.761,0.207,0.183,0.155,0.11
5,秋田県,0.725,0.732,0.799,0.206,0.159,0.119,0.116
6,山形県,0.784,0.754,0.785,0.212,0.156,0.108,0.099
7,福島県,0.739,0.692,0.753,0.226,0.19,0.147,0.102
8,茨城県,0.764,0.629,0.721,0.213,0.171,0.205,0.124
9,栃木県,0.761,0.633,0.71,0.192,0.169,0.165,0.118
10,群馬県,0.783,0.666,0.767,0.176,0.16,0.134,0.124
11,埼玉県,0.759,0.553,0.777,0.222,0.14,0.153,0.103
12,千葉県,0.762,0.604,0.76,0.212,0.138,0.184,0.069
13,東京都,0.791,0.751,0.73,0.238,0.198,0.208,0.102
14,神奈川県,0.762,0.557,0.757,0.21,0.164,0.187,0.125
15,新潟県,0.785,0.717,0.771,0.258,0.129,0.107,0.095
16,富山県,0.77,0.69,0.768,0.213,0.144,0.139,0.089
17,石川県,0.805,0.669,0.765,0.144,0.198,0.137,0.129
18,福井県,0.795,0.735,0.757,0.223,0.137,0.115,0.048
19,山梨県,0.773,0.63,0.735,0.245,0.173,0.21,0.14
20,長野県,0.791,0.669,0.728,0.195,0.132,0.134,0.162
21,岐阜県,0.778,0.606,0.736,0.188,0.14,0.157,0.232
22,静岡県,0.78,0.643,0.756,0.19,0.16,0.146,0.065
23,愛知県,0.763,0.593,0.732,0.187,0.165,0.17,0.177
24,三重県,0.766,0.603,0.747,0.176,0.163,0.152,0.07
25,滋賀県,0.775,0.619,0.743,0.186,0.159,0.149,0.108
26,京都府,0.801,0.648,0.772,0.188,0.2,0.171,0.1
27,大阪府,0.776,0.662,0.755,0.169,0.198,0.202,0.138
28,兵庫県,0.754,0.57,0.763,0.192,0.189,0.2,0.067
29,奈良県,0.739,0.573,0.798,0.193,0.189,0.189,0.037
30,和歌山県,0.743,0.631,0.787,0.187,0.231,0.152,0.095
31,鳥取県,0.803,0.737,0.79,0.229,0.196,0.181,0.08
32,島根県,0.777,0.713,0.784,0.239,0.152,0.118,0.074
33,岡山県,0.767,0.696,0.787,0.181,0.215,0.178,0.029
34,広島県,0.764,0.673,0.773,0.186,0.178,0.188,0.038
35,山口県,0.739,0.648,0.775,0.196,0.203,0.159,0.062
36,徳島県,0.795,0.702,0.766,0.208,0.235,0.175,0.046
37,香川県,0.767,0.621,0.762,0.218,0.186,0.166,0.014
38,愛媛県,0.762,0.621,0.759,0.172,0.2,0.146,0.09
39,高知県,0.808,0.758,0.804,0.226,0.198,0.161,0.064
40,福岡県,0.778,0.678,0.762,0.172,0.205,0.201,0.063
41,佐賀県,0.79,0.69,0.784,0.187,0.181,0.146,0.091
42,長崎県,0.774,0.746,0.802,0.181,0.175,0.159,0.026
43,熊本県,0.8,0.746,0.757,0.197,0.193,0.168,0.05
44,大分県,0.76,0.705,0.769,0.179,0.202,0.196,0.12
45,宮崎県,0.784,0.706,0.792,0.224,0.167,0.143,0.021
46,鹿児島県,0.793,0.676,0.766,0.209,0.177,0.151,0.067
47,沖縄県,0.811,0.716,0.781,0.187,0.185,0.26,0.011
