code,prefecture,【07】都道府県の副知事の男女比,【08】都道府県の管理職の男女比,【09】都道府県審議会委員の男女比,【10】都道府県防災会議の男女比,【11】都道府県の選挙管理委員会など地方自治法１８０条の５に基づく委員会の男女比＝教育委員会を除外,【12】都道府県庁の大卒程度採用の男女比,【13】都道府県職員の育休取得率の男女格差_inverse,【14】市区町村の管理職の男女比,【15】市区町村の審議会の男女比＝防災会議を除く),【16】市区町村防災会議の男女比
1,北海道,0,0.092,0.547,0.211,0.055,0.53,0.474,0.174,0.371,0.058
2,青森県,0,0.097,0.42,0.318,0.298,0.647,0.522,0.2,0.388,0.073
3,岩手県,0,0.11,0.485,0.182,0.356,0.567,0.579,0.214,0.425,0.175
4,宮城県,0,0.092,0.476,0.395,0.17,0.454,0.329,0.293,0.467,0.155
5,秋田県,0,0.145,0.32,0.173,0.302,0.64,0.628,0.278,0.38,0.125
6,山形県,0,0.237,0.579,0.127,0.4,0.886,0.625,0.279,0.382,0.104
7,福島県,0,0.126,0.577,0.511,0.622,0.547,0.615,0.18,0.376,0.071
8,茨城県,0,0.163,0.754,0.368,0.172,0.539,0.391,0.165,0.419,0.126
9,栃木県,0,0.127,0.523,0.188,0.438,0.681,0.395,0.208,0.462,0.142
10,群馬県,0,0.193,0.649,0.262,0.361,0.379,0.419,0.174,0.342,0.128
11,埼玉県,0,0.138,0.815,0.587,0.417,0.691,0.445,0.201,0.463,0.133
12,千葉県,0,0.098,0.498,0.268,0.125,0.405,0.42,0.171,0.407,0.153
13,東京都,0.333,0.184,0.746,0.459,0.284,0.598,0.454,0.21,0.471,0.167
14,神奈川県,0,0.184,0.451,0.188,0.207,0.693,0.457,0.228,0.513,0.12
15,新潟県,0,0.137,0.6,0.25,0.197,0.642,0.445,0.191,0.449,0.122
16,富山県,1,0.233,0.47,0.218,0.229,0.689,0.476,0.375,0.328,0.104
17,石川県,0,0.14,0.761,0.246,0.111,0.648,0.515,0.327,0.452,0.137
18,福井県,1,0.262,0.793,0.625,0.5,0.701,0.662,0.329,0.461,0.159
19,山梨県,0,0.159,0.394,0.1,0.143,0.567,0.344,0.193,0.365,0.16
20,長野県,0,0.13,0.661,0.27,0.531,0.641,0.44,0.167,0.444,0.103
21,岐阜県,0,0.231,0.775,0.311,0.429,0.726,0.468,0.207,0.446,0.101
22,静岡県,0,0.14,0.501,0.265,0.432,0.44,0.37,0.2,0.458,0.11
23,愛知県,0.333,0.147,0.569,0.2,0.259,0.661,0.537,0.238,0.442,0.146
24,三重県,0,0.141,0.455,0.14,0.37,0.783,0.319,0.28,0.427,0.144
25,滋賀県,1,0.174,0.673,0.878,0.273,0.682,0.478,0.349,0.547,0.136
26,京都府,0,0.192,0.489,0.245,0.208,0.781,0.409,0.266,0.503,0.154
27,大阪府,0,0.105,0.475,0.145,0.154,0.556,0.394,0.241,0.483,0.142
28,兵庫県,0,0.193,0.428,0.229,0.147,0.575,0.294,0.285,0.47,0.157
29,奈良県,0,0.131,0.486,0.151,0.353,0.754,0.429,0.314,0.406,0.116
30,和歌山県,0,0.116,0.49,0.213,0.224,0.762,0.293,0.237,0.4,0.111
31,鳥取県,0,0.318,0.756,0.683,0.862,0.951,0.652,0.397,0.566,0.231
32,島根県,1,0.178,0.746,0.714,0.268,0.637,0.573,0.306,0.43,0.204
33,岡山県,0,0.148,0.501,0.327,0.327,0.745,0.439,0.211,0.5,0.199
34,広島県,1,0.194,0.433,0.281,0.169,0.757,0.372,0.263,0.441,0.14
35,山口県,0,0.126,0.497,0.2,0.246,0.545,0.469,0.21,0.473,0.142
36,徳島県,0,0.227,0.983,0.905,0.348,0.875,0.371,0.344,0.424,0.132
37,香川県,0,0.183,0.572,0.25,0.298,0.944,0.405,0.216,0.451,0.167
38,愛媛県,0,0.115,0.575,0.13,0.277,0.678,0.445,0.136,0.454,0.128
39,高知県,0,0.225,0.458,0.2,0.405,0.79,0.558,0.262,0.475,0.135
40,福岡県,0.5,0.223,0.529,0.356,0.297,0.662,0.315,0.221,0.555,0.221
41,佐賀県,0,0.164,0.606,0.358,0.28,0.802,0.246,0.206,0.453,0.185
42,長崎県,1,0.175,0.546,0.153,0.136,0.57,0.482,0.149,0.358,0.1
43,熊本県,0,0.135,0.472,0.533,0.431,0.901,0.309,0.177,0.371,0.103
44,大分県,0,0.109,0.636,0.304,0.419,0.905,0.397,0.186,0.449,0.095
45,宮崎県,0,0.094,0.574,0.196,0.13,0.449,0.506,0.181,0.406,0.116
46,鹿児島県,0,0.141,0.661,0.425,0.197,0.667,0.308,0.162,0.371,0.087
47,沖縄県,0,0.22,0.569,0.25,0.311,0.518,0.448,0.2,0.475,0.122
