itemname,folder,code,prefecture,gender,2025,2023,2024
【01】歴代知事の在職年数の男女比,政治,1,北海道,men,61,59,60
【01】歴代知事の在職年数の男女比,政治,1,北海道,women,16,16,16
【01】歴代知事の在職年数の男女比,政治,2,青森県,men,77,75,76
【01】歴代知事の在職年数の男女比,政治,2,青森県,women,0,0,0
【01】歴代知事の在職年数の男女比,政治,3,岩手県,men,77,75,76
【01】歴代知事の在職年数の男女比,政治,3,岩手県,women,0,0,0
【01】歴代知事の在職年数の男女比,政治,4,宮城県,men,77,75,76
【01】歴代知事の在職年数の男女比,政治,4,宮城県,women,0,0,0
【01】歴代知事の在職年数の男女比,政治,5,秋田県,men,77,75,76
【01】歴代知事の在職年数の男女比,政治,5,秋田県,women,0,0,0
【01】歴代知事の在職年数の男女比,政治,6,山形県,men,62,62,62
【01】歴代知事の在職年数の男女比,政治,6,山形県,women,15,13,14
【01】歴代知事の在職年数の男女比,政治,7,福島県,men,77,75,76
【01】歴代知事の在職年数の男女比,政治,7,福島県,women,0,0,0
【01】歴代知事の在職年数の男女比,政治,8,茨城県,men,77,75,76
【01】歴代知事の在職年数の男女比,政治,8,茨城県,women,0,0,0
【01】歴代知事の在職年数の男女比,政治,9,栃木県,men,77,75,76
【01】歴代知事の在職年数の男女比,政治,9,栃木県,women,0,0,0
【01】歴代知事の在職年数の男女比,政治,10,群馬県,men,77,75,76
【01】歴代知事の在職年数の男女比,政治,10,群馬県,women,0,0,0
【01】歴代知事の在職年数の男女比,政治,11,埼玉県,men,77,75,76
【01】歴代知事の在職年数の男女比,政治,11,埼玉県,women,0,0,0
【01】歴代知事の在職年数の男女比,政治,12,千葉県,men,69,67,68
【01】歴代知事の在職年数の男女比,政治,12,千葉県,women,8,8,8
【01】歴代知事の在職年数の男女比,政治,13,東京都,men,69,69,69
【01】歴代知事の在職年数の男女比,政治,13,東京都,women,8,6,7
【01】歴代知事の在職年数の男女比,政治,14,神奈川県,men,77,75,76
【01】歴代知事の在職年数の男女比,政治,14,神奈川県,women,0,0,0
【01】歴代知事の在職年数の男女比,政治,15,新潟県,men,77,75,76
【01】歴代知事の在職年数の男女比,政治,15,新潟県,women,0,0,0
【01】歴代知事の在職年数の男女比,政治,16,富山県,men,77,75,76
【01】歴代知事の在職年数の男女比,政治,16,富山県,women,0,0,0
【01】歴代知事の在職年数の男女比,政治,17,石川県,men,77,75,76
【01】歴代知事の在職年数の男女比,政治,17,石川県,women,0,0,0
【01】歴代知事の在職年数の男女比,政治,18,福井県,men,77,75,76
【01】歴代知事の在職年数の男女比,政治,18,福井県,women,0,0,0
【01】歴代知事の在職年数の男女比,政治,19,山梨県,men,77,75,76
【01】歴代知事の在職年数の男女比,政治,19,山梨県,women,0,0,0
【01】歴代知事の在職年数の男女比,政治,20,長野県,men,77,75,76
【01】歴代知事の在職年数の男女比,政治,20,長野県,women,0,0,0
【01】歴代知事の在職年数の男女比,政治,21,岐阜県,men,77,75,76
【01】歴代知事の在職年数の男女比,政治,21,岐阜県,women,0,0,0
【01】歴代知事の在職年数の男女比,政治,22,静岡県,men,77,75,76
【01】歴代知事の在職年数の男女比,政治,22,静岡県,women,0,0,0
【01】歴代知事の在職年数の男女比,政治,23,愛知県,men,77,75,76
【01】歴代知事の在職年数の男女比,政治,23,愛知県,women,0,0,0
【01】歴代知事の在職年数の男女比,政治,24,三重県,men,77,75,76
【01】歴代知事の在職年数の男女比,政治,24,三重県,women,0,0,0
【01】歴代知事の在職年数の男女比,政治,25,滋賀県,men,69,67,68
【01】歴代知事の在職年数の男女比,政治,25,滋賀県,women,8,8,8
【01】歴代知事の在職年数の男女比,政治,26,京都府,men,77,75,76
【01】歴代知事の在職年数の男女比,政治,26,京都府,women,0,0,0
【01】歴代知事の在職年数の男女比,政治,27,大阪府,men,69,67,68
【01】歴代知事の在職年数の男女比,政治,27,大阪府,women,8,8,8
【01】歴代知事の在職年数の男女比,政治,28,兵庫県,men,77,75,76
【01】歴代知事の在職年数の男女比,政治,28,兵庫県,women,0,0,0
【01】歴代知事の在職年数の男女比,政治,29,奈良県,men,77,75,76
【01】歴代知事の在職年数の男女比,政治,29,奈良県,women,0,0,0
【01】歴代知事の在職年数の男女比,政治,30,和歌山県,men,77,75,76
【01】歴代知事の在職年数の男女比,政治,30,和歌山県,women,0,0,0
【01】歴代知事の在職年数の男女比,政治,31,鳥取県,men,77,75,76
【01】歴代知事の在職年数の男女比,政治,31,鳥取県,women,0,0,0
【01】歴代知事の在職年数の男女比,政治,32,島根県,men,77,75,76
【01】歴代知事の在職年数の男女比,政治,32,島根県,women,0,0,0
【01】歴代知事の在職年数の男女比,政治,33,岡山県,men,77,75,76
【01】歴代知事の在職年数の男女比,政治,33,岡山県,women,0,0,0
【01】歴代知事の在職年数の男女比,政治,34,広島県,men,77,75,76
【01】歴代知事の在職年数の男女比,政治,34,広島県,women,0,0,0
【01】歴代知事の在職年数の男女比,政治,35,山口県,men,77,75,76
【01】歴代知事の在職年数の男女比,政治,35,山口県,women,0,0,0
【01】歴代知事の在職年数の男女比,政治,36,徳島県,men,77,75,76
【01】歴代知事の在職年数の男女比,政治,36,徳島県,women,0,0,0
【01】歴代知事の在職年数の男女比,政治,37,香川県,men,77,75,76
【01】歴代知事の在職年数の男女比,政治,37,香川県,women,0,0,0
【01】歴代知事の在職年数の男女比,政治,38,愛媛県,men,77,75,76
【01】歴代知事の在職年数の男女比,政治,38,愛媛県,women,0,0,0
【01】歴代知事の在職年数の男女比,政治,39,高知県,men,77,75,76
【01】歴代知事の在職年数の男女比,政治,39,高知県,women,0,0,0
【01】歴代知事の在職年数の男女比,政治,40,福岡県,men,77,75,76
【01】歴代知事の在職年数の男女比,政治,40,福岡県,women,0,0,0
【01】歴代知事の在職年数の男女比,政治,41,佐賀県,men,77,75,76
【01】歴代知事の在職年数の男女比,政治,41,佐賀県,women,0,0,0
【01】歴代知事の在職年数の男女比,政治,42,長崎県,men,77,75,76
【01】歴代知事の在職年数の男女比,政治,42,長崎県,women,0,0,0
【01】歴代知事の在職年数の男女比,政治,43,熊本県,men,69,67,68
【01】歴代知事の在職年数の男女比,政治,43,熊本県,women,8,8,8
【01】歴代知事の在職年数の男女比,政治,44,大分県,men,77,75,76
【01】歴代知事の在職年数の男女比,政治,44,大分県,women,0,0,0
【01】歴代知事の在職年数の男女比,政治,45,宮崎県,men,77,75,76
【01】歴代知事の在職年数の男女比,政治,45,宮崎県,women,0,0,0
【01】歴代知事の在職年数の男女比,政治,46,鹿児島県,men,77,75,76
【01】歴代知事の在職年数の男女比,政治,46,鹿児島県,women,0,0,0
【01】歴代知事の在職年数の男女比,政治,47,沖縄県,men,52,50,51
【01】歴代知事の在職年数の男女比,政治,47,沖縄県,women,0,0,0
【02】衆参両院の選挙区選出議員の男女比,政治,1,北海道,men,12,15,15
【02】衆参両院の選挙区選出議員の男女比,政治,1,北海道,women,6,3,3
【02】衆参両院の選挙区選出議員の男女比,政治,2,青森県,men,3,4,4
【02】衆参両院の選挙区選出議員の男女比,政治,2,青森県,women,2,1,1
【02】衆参両院の選挙区選出議員の男女比,政治,3,岩手県,men,5,4,4
【02】衆参両院の選挙区選出議員の男女比,政治,3,岩手県,women,0,1,1
【02】衆参両院の選挙区選出議員の男女比,政治,4,宮城県,men,4,6,6
【02】衆参両院の選挙区選出議員の男女比,政治,4,宮城県,women,3,2,2
【02】衆参両院の選挙区選出議員の男女比,政治,5,秋田県,men,4,4,4
【02】衆参両院の選挙区選出議員の男女比,政治,5,秋田県,women,1,1,1
【02】衆参両院の選挙区選出議員の男女比,政治,6,山形県,men,3,3,3
【02】衆参両院の選挙区選出議員の男女比,政治,6,山形県,women,2,2,2
【02】衆参両院の選挙区選出議員の男女比,政治,7,福島県,men,4,5,5
【02】衆参両院の選挙区選出議員の男女比,政治,7,福島県,women,2,2,2
【02】衆参両院の選挙区選出議員の男女比,政治,8,茨城県,men,10,8,8
【02】衆参両院の選挙区選出議員の男女比,政治,8,茨城県,women,1,3,3
【02】衆参両院の選挙区選出議員の男女比,政治,9,栃木県,men,6,6,6
【02】衆参両院の選挙区選出議員の男女比,政治,9,栃木県,women,1,1,1
【02】衆参両院の選挙区選出議員の男女比,政治,10,群馬県,men,6,6,6
【02】衆参両院の選挙区選出議員の男女比,政治,10,群馬県,women,1,1,1
【02】衆参両院の選挙区選出議員の男女比,政治,11,埼玉県,men,21,21,21
【02】衆参両院の選挙区選出議員の男女比,政治,11,埼玉県,women,3,2,2
【02】衆参両院の選挙区選出議員の男女比,政治,12,千葉県,men,18,17,17
【02】衆参両院の選挙区選出議員の男女比,政治,12,千葉県,women,2,1,2
【02】衆参両院の選挙区選出議員の男女比,政治,13,東京都,men,29,28,28
【02】衆参両院の選挙区選出議員の男女比,政治,13,東京都,women,10,9,9
【02】衆参両院の選挙区選出議員の男女比,政治,14,神奈川県,men,19,19,18
【02】衆参両院の選挙区選出議員の男女比,政治,14,神奈川県,women,8,7,7
【02】衆参両院の選挙区選出議員の男女比,政治,15,新潟県,men,4,5,5
【02】衆参両院の選挙区選出議員の男女比,政治,15,新潟県,women,3,3,3
【02】衆参両院の選挙区選出議員の男女比,政治,16,富山県,men,5,5,5
【02】衆参両院の選挙区選出議員の男女比,政治,16,富山県,women,0,0,0
【02】衆参両院の選挙区選出議員の男女比,政治,17,石川県,men,5,5,5
【02】衆参両院の選挙区選出議員の男女比,政治,17,石川県,women,0,0,0
【02】衆参両院の選挙区選出議員の男女比,政治,18,福井県,men,3,3,3
【02】衆参両院の選挙区選出議員の男女比,政治,18,福井県,women,1,1,1
【02】衆参両院の選挙区選出議員の男女比,政治,19,山梨県,men,3,3,3
【02】衆参両院の選挙区選出議員の男女比,政治,19,山梨県,women,1,1,1
【02】衆参両院の選挙区選出議員の男女比,政治,20,長野県,men,7,7,7
【02】衆参両院の選挙区選出議員の男女比,政治,20,長野県,women,0,0,0
【02】衆参両院の選挙区選出議員の男女比,政治,21,岐阜県,men,6,6,6
【02】衆参両院の選挙区選出議員の男女比,政治,21,岐阜県,women,1,1,1
【02】衆参両院の選挙区選出議員の男女比,政治,22,静岡県,men,10,10,10
【02】衆参両院の選挙区選出議員の男女比,政治,22,静岡県,women,2,2,2
【02】衆参両院の選挙区選出議員の男女比,政治,23,愛知県,men,19,21,21
【02】衆参両院の選挙区選出議員の男女比,政治,23,愛知県,women,4,2,2
【02】衆参両院の選挙区選出議員の男女比,政治,24,三重県,men,4,4,4
【02】衆参両院の選挙区選出議員の男女比,政治,24,三重県,women,2,2,2
【02】衆参両院の選挙区選出議員の男女比,政治,25,滋賀県,men,4,5,5
【02】衆参両院の選挙区選出議員の男女比,政治,25,滋賀県,women,1,1,1
【02】衆参両院の選挙区選出議員の男女比,政治,26,京都府,men,9,9,9
【02】衆参両院の選挙区選出議員の男女比,政治,26,京都府,women,1,1,1
【02】衆参両院の選挙区選出議員の男女比,政治,27,大阪府,men,22,23,23
【02】衆参両院の選挙区選出議員の男女比,政治,27,大阪府,women,4,4,4
【02】衆参両院の選挙区選出議員の男女比,政治,28,兵庫県,men,16,17,17
【02】衆参両院の選挙区選出議員の男女比,政治,28,兵庫県,women,1,1,1
【02】衆参両院の選挙区選出議員の男女比,政治,29,奈良県,men,4,4,4
【02】衆参両院の選挙区選出議員の男女比,政治,29,奈良県,women,1,1,1
【02】衆参両院の選挙区選出議員の男女比,政治,30,和歌山県,men,3,4,4
【02】衆参両院の選挙区選出議員の男女比,政治,30,和歌山県,women,0,0,1
【02】衆参両院の選挙区選出議員の男女比,政治,31,鳥取県,men,4,4,4
【02】衆参両院の選挙区選出議員の男女比,政治,31,鳥取県,women,0,0,0
【02】衆参両院の選挙区選出議員の男女比,政治,32,島根県,men,3,4,3
【02】衆参両院の選挙区選出議員の男女比,政治,32,島根県,women,1,0,0
【02】衆参両院の選挙区選出議員の男女比,政治,33,岡山県,men,5,6,6
【02】衆参両院の選挙区選出議員の男女比,政治,33,岡山県,women,1,1,1
【02】衆参両院の選挙区選出議員の男女比,政治,34,広島県,men,8,9,9
【02】衆参両院の選挙区選出議員の男女比,政治,34,広島県,women,2,2,2
【02】衆参両院の選挙区選出議員の男女比,政治,35,山口県,men,5,5,6
【02】衆参両院の選挙区選出議員の男女比,政治,35,山口県,women,0,0,0
【02】衆参両院の選挙区選出議員の男女比,政治,36,徳島県,men,4,4,4
【02】衆参両院の選挙区選出議員の男女比,政治,36,徳島県,women,0,0,0
【02】衆参両院の選挙区選出議員の男女比,政治,37,香川県,men,5,5,5
【02】衆参両院の選挙区選出議員の男女比,政治,37,香川県,women,0,0,0
【02】衆参両院の選挙区選出議員の男女比,政治,38,愛媛県,men,4,5,5
【02】衆参両院の選挙区選出議員の男女比,政治,38,愛媛県,women,1,1,1
